TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Kütahya;Seçim çevresi toplamý ;;;;1594;422116;386024;377486;203939;69737;811;900;2678;46808;6841;40501;4542;729;0
;;;Ýl/Ýlçe merkezi;;851;282106;255178;250743;124061;51181;397;423;2279;35549;5114;28139;3029;571;0
;;;Belde/Köy;;743;140010;130846;126743;79878;18556;414;477;399;11259;1727;12362;1513;158;0
;Altýntaþ;;;;52;12447;11019;10720;6152;1984;23;29;64;1218;143;962;133;12;0
;;;Ýl/Ýlçe merkezi;;12;3658;3019;2944;1418;537;7;6;24;478;44;396;29;5;0
;;;Belde/Köy;;40;8789;8000;7776;4734;1447;16;23;40;740;99;566;104;7;0
;Domaniç;;;;53;11945;11056;10698;6073;1304;37;50;64;1344;247;1449;117;13;0
;;;Ýl/Ýlçe merkezi;;10;3494;3135;3061;1270;370;8;14;50;664;91;553;32;9;0
;;;Belde/Köy;;43;8451;7921;7637;4803;934;29;36;14;680;156;896;85;4;0
;Emet;;;;70;15888;14465;14133;8363;2383;24;29;49;1344;424;1311;179;27;0
;;;Ýl/Ýlçe merkezi;;26;8280;7432;7291;3804;1376;6;11;39;884;298;767;85;21;0
;;;Belde/Köy;;44;7608;7033;6842;4559;1007;18;18;10;460;126;544;94;6;0
;Gediz;;;;154;38202;35221;34276;19464;4942;83;100;127;3823;330;4949;402;56;0
;;;Ýl/Ýlçe merkezi;;59;16816;15301;15006;7986;2222;23;26;82;1799;196;2476;168;28;0
;;;Belde/Köy;;95;21386;19920;19270;11478;2720;60;74;45;2024;134;2473;234;28;0
;Kütahya Merkez;;;;597;181076;165013;162388;79048;37574;252;253;1484;23636;3032;14748;2017;344;0
;;;Ýl/Ýlçe merkezi;;478;165487;150188;147861;70323;34549;213;224;1425;22225;2846;13881;1851;324;0
;;;Belde/Köy;;119;15589;14825;14527;8725;3025;39;29;59;1411;186;867;166;20;0
;Simav;;;;209;50435;45939;44538;26609;5067;160;207;200;5252;584;5911;468;80;0
;;;Ýl/Ýlçe merkezi;;63;18986;16735;16350;8033;2081;43;51;103;2582;268;2968;182;39;0
;;;Belde/Köy;;146;31449;29204;28188;18576;2986;117;156;97;2670;316;2943;286;41;0
;Tavþanlý;;;;286;77636;72096;70467;40426;11586;133;128;571;7104;1656;7889;805;169;0
;;;Ýl/Ýlçe merkezi;;152;52505;48223;47389;25564;8380;69;58;504;5352;1185;5588;556;133;0
;;;Belde/Köy;;134;25131;23873;23078;14862;3206;64;70;67;1752;471;2301;249;36;0
;Aslanapa;;;;39;7501;7051;6915;4297;1576;11;16;10;287;67;500;147;4;0
;;;Ýl/Ýlçe merkezi;;5;1611;1491;1471;871;361;1;0;3;84;18;109;24;0;0
;;;Belde/Köy;;34;5890;5560;5444;3426;1215;10;16;7;203;49;391;123;4;0
;Dumlupýnar;;;;14;2419;2136;2072;1013;365;7;9;7;397;35;203;32;4;0
;;;Ýl/Ýlçe merkezi;;4;952;785;762;282;166;3;2;6;176;15;99;12;1;0
;;;Belde/Köy;;10;1467;1351;1310;731;199;4;7;1;221;20;104;20;3;0
;Hisarcýk;;;;44;9808;8805;8580;4866;1389;27;18;28;841;112;1175;116;8;0
;;;Ýl/Ýlçe merkezi;;13;3815;3279;3218;1681;480;7;5;12;359;47;582;42;3;0
;;;Belde/Köy;;31;5993;5526;5362;3185;909;20;13;16;482;65;593;74;5;0
;Þaphane;;;;25;5133;4605;4414;2630;483;14;25;20;642;60;493;42;5;0
;;;Ýl/Ýlçe merkezi;;11;2298;1952;1883;911;233;2;11;10;433;21;242;17;3;0
;;;Belde/Köy;;14;2835;2653;2531;1719;250;12;14;10;209;39;251;25;2;0
;Çavdarhisar;;;;31;5460;4854;4664;2730;653;26;20;32;582;91;470;55;5;0
;;;Ýl/Ýlçe merkezi;;7;1747;1461;1415;640;149;6;6;10;358;43;189;11;3;0
;;;Belde/Köy;;24;3713;3393;3249;2090;504;20;14;22;224;48;281;44;2;0
;Pazarlar;;;;20;4166;3764;3621;2268;431;14;16;22;338;60;441;29;2;0
;;;Ýl/Ýlçe merkezi;;11;2457;2177;2092;1278;277;9;9;11;155;42;289;20;2;0
;;;Belde/Köy;;9;1709;1587;1529;990;154;5;7;11;183;18;152;9;0;0
