TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Kýrklareli;Seçim çevresi toplamý ;;;;876;272674;246416;241347;62148;11367;358;675;7123;116179;1434;40069;1030;903;61
;;;Ýl/Ýlçe merkezi;;543;187979;168770;165966;42369;8042;143;398;5976;79153;971;27497;723;653;41
;;;Belde/Köy;;333;84695;77646;75381;19779;3325;215;277;1147;37026;463;12572;307;250;20
;Babaeski;;;;126;38687;35070;34315;6721;1482;52;123;881;19394;205;5199;120;135;3
;;;Ýl/Ýlçe merkezi;;64;22120;19840;19484;3994;798;13;54;628;10780;109;2947;67;92;2
;;;Belde/Köy;;62;16567;15230;14831;2727;684;39;69;253;8614;96;2252;53;43;1
;Demirköy;;;;29;6668;5943;5726;2269;452;11;21;181;1901;42;778;50;20;1
;;;Ýl/Ýlçe merkezi;;9;2559;2218;2144;863;226;2;10;109;568;22;310;28;5;1
;;;Belde/Köy;;20;4109;3725;3582;1406;226;9;11;72;1333;20;468;22;15;0
;Kýrklareli Merkez;;;;224;71513;63587;62150;18416;3017;105;167;2145;25589;354;11807;287;234;29
;;;Ýl/Ýlçe merkezi;;155;55062;48728;47844;13680;2440;45;122;2022;19546;267;9296;218;188;20
;;;Belde/Köy;;69;16451;14859;14306;4736;577;60;45;123;6043;87;2511;69;46;9
;Kofçaz;;;;18;2050;1931;1883;629;104;9;20;14;781;10;301;8;6;1
;;;Ýl/Ýlçe merkezi;;2;492;453;436;162;36;1;6;4;168;2;52;5;0;0
;;;Belde/Köy;;16;1558;1478;1447;467;68;8;14;10;613;8;249;3;6;1
;Lüleburgaz;;;;336;113453;103452;101808;24697;4243;93;239;3323;52045;602;15781;412;357;16
;;;Ýl/Ýlçe merkezi;;250;88112;79928;78790;19106;3342;55;165;2823;40425;471;11773;323;295;12
;;;Belde/Köy;;86;25341;23524;23018;5591;901;38;74;500;11620;131;4008;89;62;4
;Pehlivanköy;;;;13;3189;2867;2778;737;110;4;13;25;1254;14;599;10;11;1
;;;Ýl/Ýlçe merkezi;;5;1411;1238;1205;401;43;0;3;15;514;5;215;6;3;0
;;;Belde/Köy;;8;1778;1629;1573;336;67;4;10;10;740;9;384;4;8;1
;Pýnarhisar;;;;51;14689;13225;12906;3654;733;34;37;312;5886;81;2052;63;51;3
;;;Ýl/Ýlçe merkezi;;25;7911;7058;6940;1979;505;15;18;220;2896;45;1197;36;27;2
;;;Belde/Köy;;26;6778;6167;5966;1675;228;19;19;92;2990;36;855;27;24;1
;Vize;;;;79;22425;20341;19781;5025;1226;50;55;242;9329;126;3552;80;89;7
;;;Ýl/Ýlçe merkezi;;33;10312;9307;9123;2184;652;12;20;155;4256;50;1707;40;43;4
;;;Belde/Köy;;46;12113;11034;10658;2841;574;38;35;87;5073;76;1845;40;46;3
