TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Kýrýkkale;Seçim çevresi toplamý ;;;;708;198396;173824;170629;72611;41333;292;300;1881;25752;2062;23624;2378;396;0
;;;Ýl/Ýlçe merkezi;;497;170514;148759;146116;61380;36377;208;243;1586;20714;1883;21320;2047;358;0
;;;Belde/Köy;;211;27882;25065;24513;11231;4956;84;57;295;5038;179;2304;331;38;0
;Delice;;;;56;6765;6052;5948;2939;961;25;16;104;1201;47;586;61;8;0
;;;Ýl/Ýlçe merkezi;;9;1640;1475;1449;763;260;3;1;14;194;17;186;9;2;0
;;;Belde/Köy;;47;5125;4577;4499;2176;701;22;15;90;1007;30;400;52;6;0
;Keskin;;;;81;12238;11155;10862;4614;1963;15;25;238;1113;131;2600;138;25;0
;;;Ýl/Ýlçe merkezi;;24;6429;5991;5814;1975;926;6;11;228;686;82;1815;64;21;0
;;;Belde/Köy;;57;5809;5164;5048;2639;1037;9;14;10;427;49;785;74;4;0
;Kýrýkkale Merkez;;;;412;146479;127609;125406;52879;31216;186;224;1121;18692;1586;17422;1776;304;0
;;;Ýl/Ýlçe merkezi;;391;140952;122592;120474;50955;30313;164;215;1008;17253;1564;16993;1715;294;0
;;;Belde/Köy;;21;5527;5017;4932;1924;903;22;9;113;1439;22;429;61;10;0
;Sulakyurt;;;;36;5414;4878;4780;1390;1786;9;5;42;1335;18;103;85;7;0
;;;Ýl/Ýlçe merkezi;;9;1600;1391;1372;269;839;3;1;11;158;9;46;34;2;0
;;;Belde/Köy;;27;3814;3487;3408;1121;947;6;4;31;1177;9;57;51;5;0
;Bahþili;;;;19;5235;4726;4621;2503;1000;10;9;36;548;42;404;59;10;0
;;;Ýl/Ýlçe merkezi;;13;4197;3826;3758;1966;897;6;4;32;403;36;360;45;9;0
;;;Belde/Köy;;6;1038;900;863;537;103;4;5;4;145;6;44;14;1;0
;Balýþeyh;;;;33;4442;3954;3852;1686;929;17;9;90;635;46;374;53;13;0
;;;Ýl/Ýlçe merkezi;;5;1378;1221;1193;549;227;7;4;73;170;12;137;12;2;0
;;;Belde/Köy;;28;3064;2733;2659;1137;702;10;5;17;465;34;237;41;11;0
;Çelebi;;;;17;1824;1615;1574;856;278;7;1;17;120;21;254;20;0;0
;;;Ýl/Ýlçe merkezi;;4;567;483;470;240;95;0;0;1;25;5;97;7;0;0
;;;Belde/Köy;;13;1257;1132;1104;616;183;7;1;16;95;16;157;13;0;0
;Karakeçili;;;;10;2376;2171;2119;1023;689;6;2;3;115;25;212;43;1;0
;;;Ýl/Ýlçe merkezi;;8;2185;1994;1947;928;658;5;2;2;99;24;190;39;0;0
;;;Belde/Köy;;2;191;177;172;95;31;1;0;1;16;1;22;4;1;0
;Yahþihan;;;;44;13623;11664;11467;4721;2511;17;9;230;1993;146;1669;143;28;0
;;;Ýl/Ýlçe merkezi;;34;11566;9786;9639;3735;2162;14;5;217;1726;134;1496;122;28;0
;;;Belde/Köy;;10;2057;1878;1828;986;349;3;4;13;267;12;173;21;0;0
