TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Kýrþehir;Seçim çevresi toplamý ;;;;667;165492;143297;139891;56059;23573;254;283;6029;35870;1396;14338;1669;319;101
;;;Ýl/Ýlçe merkezi;;372;123764;107365;105086;39698;18182;142;150;4505;28365;1059;11476;1196;243;70
;;;Belde/Köy;;295;41728;35932;34805;16361;5391;112;133;1524;7505;337;2862;473;76;31
;Çiçekdaðý;;;;70;11146;9554;9279;4767;1921;57;20;425;1025;127;742;185;7;3
;;;Ýl/Ýlçe merkezi;;16;4495;3793;3704;1870;798;12;4;121;449;48;322;76;4;0
;;;Belde/Köy;;54;6651;5761;5575;2897;1123;45;16;304;576;79;420;109;3;3
;Kaman;;;;112;27437;22502;21783;9321;3164;49;66;371;5822;176;2457;238;51;68
;;;Ýl/Ýlçe merkezi;;49;15694;13120;12766;5111;2033;22;25;176;3552;91;1537;145;30;44
;;;Belde/Köy;;63;11743;9382;9017;4210;1131;27;41;195;2270;85;920;93;21;24
;Kýrþehir Merkez;;;;323;99218;86749;84946;30908;15193;113;136;4319;22901;896;9262;995;202;21
;;;Ýl/Ýlçe merkezi;;255;88847;77483;75936;27118;13378;95;103;4047;20769;820;8551;851;184;20
;;;Belde/Köy;;68;10371;9266;9010;3790;1815;18;33;272;2132;76;711;144;18;1
;Mucur;;;;80;14198;12595;12311;5483;1977;13;22;166;3356;104;1030;128;28;4
;;;Ýl/Ýlçe merkezi;;33;9753;8546;8369;3719;1460;8;13;98;2196;70;691;93;18;3
;;;Belde/Köy;;47;4445;4049;3942;1764;517;5;9;68;1160;34;339;35;10;1
;Akpýnar;;;;35;5955;5205;5050;2635;560;13;24;34;1226;34;453;60;9;2
;;;Ýl/Ýlçe merkezi;;8;2148;1888;1844;753;200;4;2;23;624;6;205;21;4;2
;;;Belde/Köy;;27;3807;3317;3206;1882;360;9;22;11;602;28;248;39;5;0
;Akçakent;;;;23;3171;2750;2671;1667;429;6;12;13;238;31;217;46;10;2
;;;Ýl/Ýlçe merkezi;;3;610;518;499;342;49;0;3;1;49;5;50;0;0;0
;;;Belde/Köy;;20;2561;2232;2172;1325;380;6;9;12;189;26;167;46;10;2
;Boztepe;;;;24;4367;3942;3851;1278;329;3;3;701;1302;28;177;17;12;1
;;;Ýl/Ýlçe merkezi;;8;2217;2017;1968;785;264;1;0;39;726;19;120;10;3;1
;;;Belde/Köy;;16;2150;1925;1883;493;65;2;3;662;576;9;57;7;9;0
