TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Malatya;Seçim çevresi toplamý ;;;;1976;555349;487151;478686;254970;77413;1619;655;32081;79605;7247;20347;4184;565;0
;;;Ýl/Ýlçe merkezi;;1976;555349;487151;478686;254970;77413;1619;655;32081;79605;7247;20347;4184;565;0
;Akçadað;;;;106;20804;18294;17996;7030;3421;34;23;2940;3698;145;566;119;20;0
;;;Ýl/Ýlçe merkezi;;106;20804;18294;17996;7030;3421;34;23;2940;3698;145;566;119;20;0
;Arapgir;;;;70;8262;7199;7009;2954;915;17;20;439;2124;83;384;52;21;0
;;;Ýl/Ýlçe merkezi;;70;8262;7199;7009;2954;915;17;20;439;2124;83;384;52;21;0
;Arguvan;;;;51;6383;5736;5626;866;186;23;16;1498;2950;16;54;13;4;0
;;;Ýl/Ýlçe merkezi;;51;6383;5736;5626;866;186;23;16;1498;2950;16;54;13;4;0
;Darende;;;;98;19314;16900;16686;11039;2746;30;19;429;1329;235;683;166;10;0
;;;Ýl/Ýlçe merkezi;;98;19314;16900;16686;11039;2746;30;19;429;1329;235;683;166;10;0
;Doðanþehir;;;;103;28609;25409;24749;9551;4075;73;70;3105;5623;334;1632;262;24;0
;;;Ýl/Ýlçe merkezi;;103;28609;25409;24749;9551;4075;73;70;3105;5623;334;1632;262;24;0
;Hekimhan;;;;88;14735;13130;12852;4012;1376;45;42;783;5507;254;752;57;24;0
;;;Ýl/Ýlçe merkezi;;88;14735;13130;12852;4012;1376;45;42;783;5507;254;752;57;24;0
;Pütürge;;;;90;11081;9091;8963;6735;820;20;16;223;746;123;190;84;6;0
;;;Ýl/Ýlçe merkezi;;90;11081;9091;8963;6735;820;20;16;223;746;123;190;84;6;0
;Yeþilyurt;;;;628;213934;188871;185841;93518;32751;670;210;11933;32781;2934;9104;1683;257;0
;;;Ýl/Ýlçe merkezi;;628;213934;188871;185841;93518;32751;670;210;11933;32781;2934;9104;1683;257;0
;Battalgazi;;;;618;209180;182578;179432;108357;28150;644;197;9414;21605;2918;6341;1616;190;0
;;;Ýl/Ýlçe merkezi;;618;209180;182578;179432;108357;28150;644;197;9414;21605;2918;6341;1616;190;0
;Doðanyol;;;;19;3084;2366;2290;1467;362;6;10;40;238;42;102;22;1;0
;;;Ýl/Ýlçe merkezi;;19;3084;2366;2290;1467;362;6;10;40;238;42;102;22;1;0
;Kale;;;;29;4461;4230;4186;3207;516;18;2;50;263;40;74;15;1;0
;;;Ýl/Ýlçe merkezi;;29;4461;4230;4186;3207;516;18;2;50;263;40;74;15;1;0
;Kuluncak;;;;32;5996;5296;5136;2425;910;9;15;219;1194;39;280;41;4;0
;;;Ýl/Ýlçe merkezi;;32;5996;5296;5136;2425;910;9;15;219;1194;39;280;41;4;0
;Yazýhan;;;;44;9506;8051;7920;3809;1185;30;15;1008;1547;84;185;54;3;0
;;;Ýl/Ýlçe merkezi;;44;9506;8051;7920;3809;1185;30;15;1008;1547;84;185;54;3;0
