TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Manisa;Seçim çevresi toplamý ;;;;3435;1044628;953742;930198;363916;105643;2545;2739;62198;245894;8666;128002;8124;2471;0
;;;Ýl/Ýlçe merkezi;;3435;1044628;953742;930198;363916;105643;2545;2739;62198;245894;8666;128002;8124;2471;0
;Akhisar;;;;411;130082;119355;116343;43705;10791;294;363;4381;41408;1214;12968;905;314;0
;;;Ýl/Ýlçe merkezi;;411;130082;119355;116343;43705;10791;294;363;4381;41408;1214;12968;905;314;0
;Alaþehir;;;;257;75827;68455;66261;23418;7745;254;263;3569;19328;720;10274;498;192;0
;;;Ýl/Ýlçe merkezi;;257;75827;68455;66261;23418;7745;254;263;3569;19328;720;10274;498;192;0
;Demirci;;;;135;30266;27604;26689;15457;3153;88;105;175;3494;473;3414;279;51;0
;;;Ýl/Ýlçe merkezi;;135;30266;27604;26689;15457;3153;88;105;175;3494;473;3414;279;51;0
;Gördes;;;;95;22759;21064;20168;10396;2695;104;109;154;3400;210;2784;259;57;0
;;;Ýl/Ýlçe merkezi;;95;22759;21064;20168;10396;2695;104;109;154;3400;210;2784;259;57;0
;Kýrkaðaç;;;;103;29256;26637;25896;15063;2309;65;71;309;4314;340;3155;219;51;0
;;;Ýl/Ýlçe merkezi;;103;29256;26637;25896;15063;2309;65;71;309;4314;340;3155;219;51;0
;Kula;;;;136;34703;31731;30562;14057;4414;123;150;363;6209;268;4613;297;68;0
;;;Ýl/Ýlçe merkezi;;136;34703;31731;30562;14057;4414;123;150;363;6209;268;4613;297;68;0
;Salihli;;;;387;123901;112319;109704;33073;13209;298;333;8206;37134;708;15575;890;278;0
;;;Ýl/Ýlçe merkezi;;387;123901;112319;109704;33073;13209;298;333;8206;37134;708;15575;890;278;0
;Sarýgöl;;;;93;28394;26000;24985;6894;2450;140;133;848;9242;162;4889;145;82;0
;;;Ýl/Ýlçe merkezi;;93;28394;26000;24985;6894;2450;140;133;848;9242;162;4889;145;82;0
;Saruhanlý;;;;138;41904;39071;38082;13434;3300;107;88;2855;12208;277;5472;248;93;0
;;;Ýl/Ýlçe merkezi;;138;41904;39071;38082;13434;3300;107;88;2855;12208;277;5472;248;93;0
;Selendi;;;;83;16025;14523;13946;5304;4494;68;82;125;2279;120;1223;234;17;0
;;;Ýl/Ýlçe merkezi;;83;16025;14523;13946;5304;4494;68;82;125;2279;120;1223;234;17;0
;Soma;;;;269;79850;73275;71737;34202;7931;128;232;1999;16862;906;8620;662;195;0
;;;Ýl/Ýlçe merkezi;;269;79850;73275;71737;34202;7931;128;232;1999;16862;906;8620;662;195;0
;Turgutlu;;;;343;116822;105261;102956;39873;11191;300;223;12237;22497;960;14501;905;269;0
;;;Ýl/Ýlçe merkezi;;343;116822;105261;102956;39873;11191;300;223;12237;22497;960;14501;905;269;0
;Ahmetli;;;;46;12678;11599;11308;4962;1128;47;32;632;2633;95;1679;78;22;0
;;;Ýl/Ýlçe merkezi;;46;12678;11599;11308;4962;1128;47;32;632;2633;95;1679;78;22;0
;Gölmarmara;;;;42;11333;10470;10229;3117;1017;24;18;2009;3113;47;780;78;26;0
;;;Ýl/Ýlçe merkezi;;42;11333;10470;10229;3117;1017;24;18;2009;3113;47;780;78;26;0
;Köprübaþý;;;;62;10867;9904;9469;4396;978;44;40;102;2068;77;1664;81;19;0
;;;Ýl/Ýlçe merkezi;;62;10867;9904;9469;4396;978;44;40;102;2068;77;1664;81;19;0
;Þehzadeler;;;;358;120239;110187;108152;41653;11947;227;191;9725;25877;849;16376;976;331;0
;;;Ýl/Ýlçe merkezi;;358;120239;110187;108152;41653;11947;227;191;9725;25877;849;16376;976;331;0
;Yunusemre;;;;477;159722;146287;143711;54912;16891;234;306;14509;33828;1240;20015;1370;406;0
;;;Ýl/Ýlçe merkezi;;477;159722;146287;143711;54912;16891;234;306;14509;33828;1240;20015;1370;406;0
