TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Mardin;Seçim çevresi toplamý ;;;;1633;470545;395732;385281;113634;9387;8253;641;233657;10915;3151;3952;1136;205;350
;;;Ýl/Ýlçe merkezi;;1633;470545;395732;385281;113634;9387;8253;641;233657;10915;3151;3952;1136;205;350
;Derik;;;;130;34218;29277;28749;3999;408;474;28;22719;678;129;254;40;10;10
;;;Ýl/Ýlçe merkezi;;130;34218;29277;28749;3999;408;474;28;22719;678;129;254;40;10;10
;Kýzýltepe;;;;473;141228;122328;120269;21300;861;2311;66;90355;3426;908;624;185;46;187
;;;Ýl/Ýlçe merkezi;;473;141228;122328;120269;21300;861;2311;66;90355;3426;908;624;185;46;187
;Mazýdaðý;;;;80;19854;17133;16481;2818;167;732;26;11854;661;83;113;14;2;11
;;;Ýl/Ýlçe merkezi;;80;19854;17133;16481;2818;167;732;26;11854;661;83;113;14;2;11
;Midyat;;;;224;65389;50573;48614;24304;2032;1125;70;18217;970;742;848;243;42;21
;;;Ýl/Ýlçe merkezi;;224;65389;50573;48614;24304;2032;1125;70;18217;970;742;848;243;42;21
;Nusaybin;;;;194;60788;49890;48278;6219;424;866;53;39426;734;154;290;82;9;21
;;;Ýl/Ýlçe merkezi;;194;60788;49890;48278;6219;424;866;53;39426;734;154;290;82;9;21
;Ömerli;;;;49;8637;7375;6924;3264;564;51;9;2607;231;53;95;41;7;2
;;;Ýl/Ýlçe merkezi;;49;8637;7375;6924;3264;564;51;9;2607;231;53;95;41;7;2
;Savur;;;;65;15844;12455;12011;4746;422;199;11;6044;306;43;176;54;9;1
;;;Ýl/Ýlçe merkezi;;65;15844;12455;12011;4746;422;199;11;6044;306;43;176;54;9;1
;Dargeçit;;;;58;15690;13057;12479;2577;177;662;22;8615;207;70;111;23;9;6
;;;Ýl/Ýlçe merkezi;;58;15690;13057;12479;2577;177;662;22;8615;207;70;111;23;9;6
;Yeþilli;;;;32;8444;7347;7231;4556;565;172;3;1600;146;67;65;46;1;10
;;;Ýl/Ýlçe merkezi;;32;8444;7347;7231;4556;565;172;3;1600;146;67;65;46;1;10
;Artuklu;;;;328;100453;86297;84245;39851;3767;1661;353;32220;3556;902;1376;408;70;81
;;;Ýl/Ýlçe merkezi;;328;100453;86297;84245;39851;3767;1661;353;32220;3556;902;1376;408;70;81
