TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Mersin;Seçim çevresi toplamý ;;;;3875;1270128;1123450;1102558;302200;139581;4486;2391;186663;296514;7515;151924;8372;2538;374
;;;Ýl/Ýlçe merkezi;;3875;1270128;1123450;1102558;302200;139581;4486;2391;186663;296514;7515;151924;8372;2538;374
;Anamur;;;;171;50407;45260;43953;13733;5976;120;138;873;12836;387;9453;302;123;12
;;;Ýl/Ýlçe merkezi;;171;50407;45260;43953;13733;5976;120;138;873;12836;387;9453;302;123;12
;Erdemli;;;;317;100445;90822;88981;36339;15638;169;172;3542;14697;988;16371;865;176;24
;;;Ýl/Ýlçe merkezi;;317;100445;90822;88981;36339;15638;169;172;3542;14697;988;16371;865;176;24
;Gülnar;;;;96;19688;17878;17277;5737;3735;71;69;92;3986;113;3249;182;35;8
;;;Ýl/Ýlçe merkezi;;96;19688;17878;17277;5737;3735;71;69;92;3986;113;3249;182;35;8
;Mut;;;;176;46403;41715;40607;15979;4797;110;97;467;12394;458;5927;281;82;15
;;;Ýl/Ýlçe merkezi;;176;46403;41715;40607;15979;4797;110;97;467;12394;458;5927;281;82;15
;Silifke;;;;295;90740;81222;79356;22792;10314;210;254;2060;22732;396;19721;601;252;24
;;;Ýl/Ýlçe merkezi;;295;90740;81222;79356;22792;10314;210;254;2060;22732;396;19721;601;252;24
;Tarsus;;;;730;234373;207352;203440;47207;38538;1291;384;33450;51586;1207;27326;1990;397;64
;;;Ýl/Ýlçe merkezi;;730;234373;207352;203440;47207;38538;1291;384;33450;51586;1207;27326;1990;397;64
;Aydýncýk;;;;32;8452;7529;7305;2553;1141;33;25;78;1863;50;1457;83;22;0
;;;Ýl/Ýlçe merkezi;;32;8452;7529;7305;2553;1141;33;25;78;1863;50;1457;83;22;0
;Bozyazý;;;;68;20305;18335;17806;6913;2470;75;34;251;3074;128;4668;154;34;5
;;;Ýl/Ýlçe merkezi;;68;20305;18335;17806;6913;2470;75;34;251;3074;128;4668;154;34;5
;Çamlýyayla;;;;26;6639;6068;5868;1946;1650;45;20;33;847;32;1210;67;12;6
;;;Ýl/Ýlçe merkezi;;26;6639;6068;5868;1946;1650;45;20;33;847;32;1210;67;12;6
;Akdeniz;;;;507;176007;155739;152395;38503;11179;1007;265;53406;36619;756;9486;869;266;39
;;;Ýl/Ýlçe merkezi;;507;176007;155739;152395;38503;11179;1007;265;53406;36619;756;9486;869;266;39
;Mezitli;;;;379;134212;117675;116232;26029;11202;180;277;18308;43393;615;15131;712;324;61
;;;Ýl/Ýlçe merkezi;;379;134212;117675;116232;26029;11202;180;277;18308;43393;615;15131;712;324;61
;Toroslar;;;;584;203238;176436;173843;53918;21480;778;273;40316;33444;1427;20336;1493;335;43
;;;Ýl/Ýlçe merkezi;;584;203238;176436;173843;53918;21480;778;273;40316;33444;1427;20336;1493;335;43
;Yeniþehir;;;;494;179219;157419;155495;30551;11461;397;383;33787;59043;958;17589;773;480;73
;;;Ýl/Ýlçe merkezi;;494;179219;157419;155495;30551;11461;397;383;33787;59043;958;17589;773;480;73
