TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Muðla;Seçim çevresi toplamý ;;;;2230;724911;642952;628627;169767;39793;1378;2615;40278;259707;3785;105395;3524;2385;0
;;;Ýl/Ýlçe merkezi;;2230;724911;642952;628627;169767;39793;1378;2615;40278;259707;3785;105395;3524;2385;0
;Bodrum;;;;374;130972;114660;113110;18310;5650;115;406;13869;57540;452;15726;498;544;0
;;;Ýl/Ýlçe merkezi;;374;130972;114660;113110;18310;5650;115;406;13869;57540;452;15726;498;544;0
;Datça;;;;56;18421;16540;16273;2448;1028;21;108;2101;8311;46;2113;65;32;0
;;;Ýl/Ýlçe merkezi;;56;18421;16540;16273;2448;1028;21;108;2101;8311;46;2113;65;32;0
;Fethiye;;;;330;114034;100102;98388;31651;6966;185;312;4054;33611;778;19866;614;351;0
;;;Ýl/Ýlçe merkezi;;330;114034;100102;98388;31651;6966;185;312;4054;33611;778;19866;614;351;0
;Köyceðiz;;;;88;27400;24160;23423;8409;1415;65;124;760;9175;132;3118;161;64;0
;;;Ýl/Ýlçe merkezi;;88;27400;24160;23423;8409;1415;65;124;760;9175;132;3118;161;64;0
;Marmaris;;;;196;68498;58438;57495;12461;3505;68;217;4734;27557;257;8107;366;223;0
;;;Ýl/Ýlçe merkezi;;196;68498;58438;57495;12461;3505;68;217;4734;27557;257;8107;366;223;0
;Milas;;;;356;108154;97945;95435;24372;5372;261;485;6127;40928;511;16515;466;398;0
;;;Ýl/Ýlçe merkezi;;356;108154;97945;95435;24372;5372;261;485;6127;40928;511;16515;466;398;0
;Ula;;;;70;20214;18313;17761;5398;850;58;104;919;7633;94;2553;93;59;0
;;;Ýl/Ýlçe merkezi;;70;20214;18313;17761;5398;850;58;104;919;7633;94;2553;93;59;0
;Yataðan;;;;123;35335;32393;31320;9383;1855;113;151;760;12000;260;6540;146;112;0
;;;Ýl/Ýlçe merkezi;;123;35335;32393;31320;9383;1855;113;151;760;12000;260;6540;146;112;0
;Dalaman;;;;90;28543;25259;24734;8304;2128;74;92;908;8241;153;4591;172;71;0
;;;Ýl/Ýlçe merkezi;;90;28543;25259;24734;8304;2128;74;92;908;8241;153;4591;172;71;0
;Ortaca;;;;110;36666;32818;32088;8570;2522;66;153;1532;13399;214;5361;176;95;0
;;;Ýl/Ýlçe merkezi;;110;36666;32818;32088;8570;2522;66;153;1532;13399;214;5361;176;95;0
;Kavaklýdere;;;;28;8252;7649;7358;3457;630;29;26;36;1806;56;1234;58;26;0
;;;Ýl/Ýlçe merkezi;;28;8252;7649;7358;3457;630;29;26;36;1806;56;1234;58;26;0
;Menteþe;;;;254;82484;73943;72284;18385;4601;136;247;3963;31014;502;12727;395;314;0
;;;Ýl/Ýlçe merkezi;;254;82484;73943;72284;18385;4601;136;247;3963;31014;502;12727;395;314;0
;Seydikemer;;;;155;45938;40732;38958;18619;3271;187;190;515;8492;330;6944;314;96;0
;;;Ýl/Ýlçe merkezi;;155;45938;40732;38958;18619;3271;187;190;515;8492;330;6944;314;96;0
