TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Muþ;Seçim çevresi toplamý ;;;;788;228538;189275;183037;57747;6527;2784;391;101744;3633;1652;7881;584;94;0
;;;Ýl/Ýlçe merkezi;;285;98539;79728;76915;28148;4791;1226;138;33921;1836;868;5511;422;54;0
;;;Belde/Köy;;503;129999;109547;106122;29599;1736;1558;253;67823;1797;784;2370;162;40;0
;Bulanýk;;;;153;44242;35763;34755;4935;672;136;102;27028;431;206;1159;64;22;0
;;;Ýl/Ýlçe merkezi;;45;15360;12167;11848;2258;423;44;24;8016;209;76;744;43;11;0
;;;Belde/Köy;;108;28882;23596;22907;2677;249;92;78;19012;222;130;415;21;11;0
;Malazgirt;;;;111;27866;23068;22421;3679;496;72;68;17392;285;107;270;44;8;0
;;;Ýl/Ýlçe merkezi;;33;11352;9142;8875;2063;251;37;29;6081;154;30;196;31;3;0
;;;Belde/Köy;;78;16514;13926;13546;1616;245;35;39;11311;131;77;74;13;5;0
;Muþ Merkez;;;;355;108161;88242;84951;36674;4876;2169;126;34318;1446;1101;3757;438;46;0
;;;Ýl/Ýlçe merkezi;;158;56133;44938;43138;18924;3833;907;50;14821;948;701;2595;326;33;0
;;;Belde/Köy;;197;52028;43304;41813;17750;1043;1262;76;19497;498;400;1162;112;13;0
;Varto;;;;66;20147;17215;16474;1106;168;57;52;13702;1139;40;188;15;7;0
;;;Ýl/Ýlçe merkezi;;21;6900;5772;5537;580;92;21;27;4285;380;16;123;8;5;0
;;;Belde/Köy;;45;13247;11443;10937;526;76;36;25;9417;759;24;65;7;2;0
;Hasköy;;;;50;14158;13174;12955;8374;207;56;10;1803;196;102;2185;14;8;0
;;;Ýl/Ýlçe merkezi;;23;6961;6254;6146;3812;164;18;5;211;121;28;1774;12;1;0
;;;Belde/Köy;;27;7197;6920;6809;4562;43;38;5;1592;75;74;411;2;7;0
;Korkut;;;;53;13964;11813;11481;2979;108;294;33;7501;136;96;322;9;3;0
;;;Ýl/Ýlçe merkezi;;5;1833;1455;1371;511;28;199;3;507;24;17;79;2;1;0
;;;Belde/Köy;;48;12131;10358;10110;2468;80;95;30;6994;112;79;243;7;2;0
