TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Nevþehir;Seçim çevresi toplamý ;;;;713;210520;189162;185381;96984;33106;551;418;2335;30496;2175;16841;2151;324;0
;;;Ýl/Ýlçe merkezi;;382;127166;113506;111623;54471;20554;385;200;1918;20247;1435;10994;1192;227;0
;;;Belde/Köy;;331;83354;75656;73758;42513;12552;166;218;417;10249;740;5847;959;97;0
;Avanos;;;;85;24835;21940;21476;9353;3428;43;60;444;5635;211;1989;271;42;0
;;;Ýl/Ýlçe merkezi;;32;10014;9064;8937;3320;1087;13;24;349;2992;124;942;65;21;0
;;;Belde/Köy;;53;14821;12876;12539;6033;2341;30;36;95;2643;87;1047;206;21;0
;Derinkuyu;;;;47;14624;12929;12673;6558;2280;15;23;56;2647;197;733;149;15;0
;;;Ýl/Ýlçe merkezi;;23;7471;6560;6435;2476;1266;12;11;37;1970;132;457;61;13;0
;;;Belde/Köy;;24;7153;6369;6238;4082;1014;3;12;19;677;65;276;88;2;0
;Gülþehir;;;;66;16454;14462;13987;7237;2823;38;54;52;1702;84;1720;246;31;0
;;;Ýl/Ýlçe merkezi;;30;9070;7992;7783;3799;1593;16;19;27;1068;40;1076;120;25;0
;;;Belde/Köy;;36;7384;6470;6204;3438;1230;22;35;25;634;44;644;126;6;0
;Hacýbektaþ;;;;47;9168;8306;8068;2144;558;28;35;502;4053;42;612;77;17;0
;;;Ýl/Ýlçe merkezi;;13;3956;3486;3438;260;69;7;17;428;2494;18;125;10;10;0
;;;Belde/Köy;;34;5212;4820;4630;1884;489;21;18;74;1559;24;487;67;7;0
;Kozaklý;;;;52;10796;9401;9144;4243;976;20;27;70;2702;61;920;101;24;0
;;;Ýl/Ýlçe merkezi;;20;5679;4937;4802;1987;486;6;15;54;1571;30;592;46;15;0
;;;Belde/Köy;;32;5117;4464;4342;2256;490;14;12;16;1131;31;328;55;9;0
;Nevþehir Merkez;;;;277;94402;85498;84178;46512;17637;335;129;925;8574;1167;7818;937;144;0
;;;Ýl/Ýlçe merkezi;;199;71124;63548;62624;33556;13405;300;73;783;6799;924;5977;702;105;0
;;;Belde/Köy;;78;23278;21950;21554;12956;4232;35;56;142;1775;243;1841;235;39;0
;Ürgüp;;;;95;26650;24170;23693;11854;3651;51;66;269;4677;252;2578;249;46;0
;;;Ýl/Ýlçe merkezi;;53;15789;14194;13963;6394;2180;30;37;232;3112;127;1655;163;33;0
;;;Belde/Köy;;42;10861;9976;9730;5460;1471;21;29;37;1565;125;923;86;13;0
;Acýgöl;;;;44;13591;12456;12162;9083;1753;21;24;17;506;161;471;121;5;0
;;;Ýl/Ýlçe merkezi;;12;4063;3725;3641;2679;468;1;4;8;241;40;170;25;5;0
;;;Belde/Köy;;32;9528;8731;8521;6404;1285;20;20;9;265;121;301;96;0;0
