TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Niðde;Seçim çevresi toplamý ;;;;778;240101;210930;206290;88103;42719;443;613;2424;41597;2487;24788;2716;400;0
;;;Ýl/Ýlçe merkezi;;391;134518;118906;117016;46206;24991;137;206;1880;24438;1536;15968;1411;243;0
;;;Belde/Köy;;387;105583;92024;89274;41897;17728;306;407;544;17159;951;8820;1305;157;0
;Bor;;;;145;43505;39218;38442;17218;7570;80;111;406;7389;358;4699;539;72;0
;;;Ýl/Ýlçe merkezi;;85;28684;25692;25273;11217;5713;40;36;189;4051;266;3345;364;52;0
;;;Belde/Köy;;60;14821;13526;13169;6001;1857;40;75;217;3338;92;1354;175;20;0
;Çamardý;;;;39;9408;7928;7659;4088;1372;31;43;44;891;72;963;133;22;0
;;;Ýl/Ýlçe merkezi;;10;2598;2198;2161;1027;403;0;4;17;354;26;303;22;5;0
;;;Belde/Köy;;29;6810;5730;5498;3061;969;31;39;27;537;46;660;111;17;0
;Niðde Merkez;;;;438;145100;127697;125344;53229;25289;205;259;1638;25393;1817;15849;1450;215;0
;;;Ýl/Ýlçe merkezi;;264;93581;82872;81659;31620;17046;81;140;1483;17670;1176;11366;919;158;0
;;;Belde/Köy;;174;51519;44825;43685;21609;8243;124;119;155;7723;641;4483;531;57;0
;Ulukýþla;;;;70;16030;14209;13791;4385;3250;54;88;236;3785;94;1629;230;40;0
;;;Ýl/Ýlçe merkezi;;15;4446;3743;3673;886;959;3;10;160;1142;34;421;48;10;0
;;;Belde/Köy;;55;11584;10466;10118;3499;2291;51;78;76;2643;60;1208;182;30;0
;Altunhisar;;;;29;8797;7402;7166;3972;1561;22;38;30;986;47;397;106;7;0
;;;Ýl/Ýlçe merkezi;;8;2280;1959;1890;866;399;7;7;10;337;15;216;30;3;0
;;;Belde/Köy;;21;6517;5443;5276;3106;1162;15;31;20;649;32;181;76;4;0
;Çiftlik;;;;57;17261;14476;13888;5211;3677;51;74;70;3153;99;1251;258;44;0
;;;Ýl/Ýlçe merkezi;;9;2929;2442;2360;590;471;6;9;21;884;19;317;28;15;0
;;;Belde/Köy;;48;14332;12034;11528;4621;3206;45;65;49;2269;80;934;230;29;0
