TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Ordu;Seçim çevresi toplamý ;;;;2015;557984;484245;470149;223444;78591;1244;1745;4269;106924;5382;40161;7340;1049;0
;;;Ýl/Ýlçe merkezi;;2015;557984;484245;470149;223444;78591;1244;1745;4269;106924;5382;40161;7340;1049;0
;Akkuþ;;;;82;17609;14468;13678;7694;2580;86;135;100;1782;127;811;340;23;0
;;;Ýl/Ýlçe merkezi;;82;17609;14468;13678;7694;2580;86;135;100;1782;127;811;340;23;0
;Aybastý;;;;63;16842;13871;13242;7510;2108;61;88;125;1987;168;908;259;28;0
;;;Ýl/Ýlçe merkezi;;63;16842;13871;13242;7510;2108;61;88;125;1987;168;908;259;28;0
;Fatsa;;;;279;85661;73892;72059;33930;11242;150;210;874;17188;808;6603;922;132;0
;;;Ýl/Ýlçe merkezi;;279;85661;73892;72059;33930;11242;150;210;874;17188;808;6603;922;132;0
;Gölköy;;;;78;22224;18324;17354;6992;3506;81;109;99;4414;156;1577;371;49;0
;;;Ýl/Ýlçe merkezi;;78;22224;18324;17354;6992;3506;81;109;99;4414;156;1577;371;49;0
;Korgan;;;;73;21196;18966;18376;11101;3906;55;91;60;1727;237;843;331;25;0
;;;Ýl/Ýlçe merkezi;;73;21196;18966;18376;11101;3906;55;91;60;1727;237;843;331;25;0
;Kumru;;;;81;22297;19816;19152;11848;4222;46;75;102;1459;168;821;390;21;0
;;;Ýl/Ýlçe merkezi;;81;22297;19816;19152;11848;4222;46;75;102;1459;168;821;390;21;0
;Mesudiye;;;;81;13116;10692;10331;5521;1329;30;44;51;1940;75;1116;197;28;0
;;;Ýl/Ýlçe merkezi;;81;13116;10692;10331;5521;1329;30;44;51;1940;75;1116;197;28;0
;Perþembe;;;;113;25639;22349;21517;8358;2492;99;124;309;6918;141;2753;245;78;0
;;;Ýl/Ýlçe merkezi;;113;25639;22349;21517;8358;2492;99;124;309;6918;141;2753;245;78;0
;Ulubey;;;;64;14579;12672;12236;5695;2023;35;56;57;3327;91;740;194;18;0
;;;Ýl/Ýlçe merkezi;;64;14579;12672;12236;5695;2023;35;56;57;3327;91;740;194;18;0
;Ünye;;;;358;92232;81175;78980;43785;13028;193;256;687;11970;1420;6129;1337;175;0
;;;Ýl/Ýlçe merkezi;;358;92232;81175;78980;43785;13028;193;256;687;11970;1420;6129;1337;175;0
;Gülyalý;;;;24;6761;6088;5900;2491;658;16;18;42;1883;66;630;82;14;0
;;;Ýl/Ýlçe merkezi;;24;6761;6088;5900;2491;658;16;18;42;1883;66;630;82;14;0
;Gürgentepe;;;;40;11058;9615;9260;3001;1600;29;34;105;3850;67;353;188;33;0
;;;Ýl/Ýlçe merkezi;;40;11058;9615;9260;3001;1600;29;34;105;3850;67;353;188;33;0
;Çamaþ;;;;29;6868;6009;5810;2667;1296;20;18;27;1073;99;488;114;8;0
;;;Ýl/Ýlçe merkezi;;29;6868;6009;5810;2667;1296;20;18;27;1073;99;488;114;8;0
;Çatalpýnar;;;;38;9895;8712;8498;4924;2417;17;30;20;612;69;226;178;5;0
;;;Ýl/Ýlçe merkezi;;38;9895;8712;8498;4924;2417;17;30;20;612;69;226;178;5;0
;Çaybaþý;;;;43;9537;8349;8079;4773;1863;34;33;22;576;62;549;158;9;0
;;;Ýl/Ýlçe merkezi;;43;9537;8349;8079;4773;1863;34;33;22;576;62;549;158;9;0
;Ýkizce;;;;52;10806;9408;9022;4773;1580;58;48;38;1349;99;954;113;10;0
;;;Ýl/Ýlçe merkezi;;52;10806;9408;9022;4773;1580;58;48;38;1349;99;954;113;10;0
;Kabadüz;;;;26;6204;5408;5245;2759;855;18;20;24;910;37;503;109;10;0
;;;Ýl/Ýlçe merkezi;;26;6204;5408;5245;2759;855;18;20;24;910;37;503;109;10;0
;Kabataþ;;;;29;8254;7168;6853;3626;1475;33;49;50;716;71;656;169;8;0
;;;Ýl/Ýlçe merkezi;;29;8254;7168;6853;3626;1475;33;49;50;716;71;656;169;8;0
;Altýnordu;;;;462;157206;137263;134557;51996;20411;183;307;1477;43243;1421;13501;1643;375;0
;;;Ýl/Ýlçe merkezi;;462;157206;137263;134557;51996;20411;183;307;1477;43243;1421;13501;1643;375;0
