TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Osmaniye;Seçim çevresi toplamý ;;;;1100;357485;308729;303085;105800;95799;1157;652;9585;40424;2987;41087;5113;481;0
;;;Ýl/Ýlçe merkezi;;767;270387;231264;227552;79037;71264;845;441;8607;29707;2445;30941;3880;385;0
;;;Belde/Köy;;333;87098;77465;75533;26763;24535;312;211;978;10717;542;10146;1233;96;0
;Bahçe;;;;55;15126;13599;13285;5806;4588;86;24;77;1035;132;1208;307;22;0
;;;Ýl/Ýlçe merkezi;;32;10105;9024;8877;3826;3086;61;9;70;661;88;879;182;15;0
;;;Belde/Köy;;23;5021;4575;4408;1980;1502;25;15;7;374;44;329;125;7;0
;Kadirli;;;;270;89130;77216;75726;28142;19441;253;219;736;10855;498;14441;1019;122;0
;;;Ýl/Ýlçe merkezi;;182;65758;56668;55656;20084;14427;150;140;584;8124;361;10905;782;99;0
;;;Belde/Köy;;88;23372;20548;20070;8058;5014;103;79;152;2731;137;3536;237;23;0
;Osmaniye Merkez;;;;497;172884;147607;145282;49974;49962;626;237;7328;16458;1870;15906;2699;222;0
;;;Ýl/Ýlçe merkezi;;420;151391;128523;126610;43926;42733;552;217;7168;13869;1722;13876;2342;205;0
;;;Belde/Köy;;77;21493;19084;18672;6048;7229;74;20;160;2589;148;2030;357;17;0
;Düziçi;;;;190;55545;47825;46789;15427;14538;122;103;586;9051;312;5825;747;78;0
;;;Ýl/Ýlçe merkezi;;99;33141;28341;27841;8677;8167;66;54;412;5884;199;3896;433;53;0
;;;Belde/Köy;;91;22404;19484;18948;6750;6371;56;49;174;3167;113;1929;314;25;0
;Hasanbeyli;;;;14;3261;2952;2867;1146;821;8;3;17;411;41;364;51;5;0
;;;Ýl/Ýlçe merkezi;;7;1607;1428;1396;575;435;3;3;14;140;21;182;21;2;0
;;;Belde/Köy;;7;1654;1524;1471;571;386;5;0;3;271;20;182;30;3;0
;Sumbas;;;;36;10678;9012;8746;2902;2405;42;53;41;1253;44;1864;123;19;0
;;;Ýl/Ýlçe merkezi;;5;1571;1390;1367;434;328;0;11;5;262;5;304;14;4;0
;;;Belde/Köy;;31;9107;7622;7379;2468;2077;42;42;36;991;39;1560;109;15;0
;Toprakkale;;;;38;10861;10518;10390;2403;4044;20;13;800;1361;90;1479;167;13;0
;;;Ýl/Ýlçe merkezi;;22;6814;5890;5805;1515;2088;13;7;354;767;49;899;106;7;0
;;;Belde/Köy;;16;4047;4628;4585;888;1956;7;6;446;594;41;580;61;6;0
