TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Rize;Seçim çevresi toplamý ;;;;975;252342;222114;217507;139948;26907;228;354;2048;27800;4096;13088;2365;397;276
;;;Ýl/Ýlçe merkezi;;513;158388;137773;134911;82681;16835;126;205;1629;19574;2798;9069;1488;296;210
;;;Belde/Köy;;462;93954;84341;82596;57267;10072;102;149;419;8226;1298;4019;877;101;66
;Ardeþen;;;;116;30661;26846;26264;15221;2904;27;28;257;4686;592;2223;264;54;8
;;;Ýl/Ýlçe merkezi;;64;20737;17974;17577;10039;1797;18;16;190;3344;432;1520;179;35;7
;;;Belde/Köy;;52;9924;8872;8687;5182;1107;9;12;67;1342;160;703;85;19;1
;Çamlýhemþin;;;;38;5320;4575;4458;2830;503;6;11;55;773;43;167;63;6;1
;;;Ýl/Ýlçe merkezi;;10;1308;1101;1079;503;134;0;1;30;329;9;55;16;1;1
;;;Belde/Köy;;28;4012;3474;3379;2327;369;6;10;25;444;34;112;47;5;0
;Çayeli;;;;137;33038;29037;28529;19322;4551;42;36;115;1969;387;1665;384;47;11
;;;Ýl/Ýlçe merkezi;;57;17184;14895;14587;9301;2413;15;20;89;1244;286;966;210;34;9
;;;Belde/Köy;;80;15854;14142;13942;10021;2138;27;16;26;725;101;699;174;13;2
;Fýndýklý;;;;51;12697;11127;10774;4529;786;14;23;403;3663;89;1120;111;31;5
;;;Ýl/Ýlçe merkezi;;27;8003;6896;6706;2522;469;10;11;315;2514;58;711;70;21;5
;;;Belde/Köy;;24;4694;4231;4068;2007;317;4;12;88;1149;31;409;41;10;0
;Ýkizdere;;;;38;5061;4304;4214;3238;438;6;17;10;272;48;137;44;3;1
;;;Ýl/Ýlçe merkezi;;8;1178;941;918;590;150;2;2;7;102;10;46;7;1;1
;;;Belde/Köy;;30;3883;3363;3296;2648;288;4;15;3;170;38;91;37;2;0
;Kalkandere;;;;43;9033;8375;8221;5772;858;6;7;147;644;122;575;60;4;26
;;;Ýl/Ýlçe merkezi;;18;4038;3872;3803;2356;456;4;6;138;391;75;339;29;2;7
;;;Belde/Köy;;25;4995;4503;4418;3416;402;2;1;9;253;47;236;31;2;19
;Pazar;;;;106;24653;21274;20721;11381;2534;29;58;323;4615;228;1242;258;41;12
;;;Ýl/Ýlçe merkezi;;44;12199;10349;10095;5397;1090;11;33;203;2457;113;641;118;27;5
;;;Belde/Köy;;62;12454;10925;10626;5984;1444;18;25;120;2158;115;601;140;14;7
;Rize Merkez;;;;343;106683;93655;91851;60820;11887;75;134;665;9587;2253;5139;934;174;183
;;;Ýl/Ýlçe merkezi;;241;82049;71402;70010;44568;9196;53;101;624;8391;1646;4384;728;157;162
;;;Belde/Köy;;102;24634;22253;21841;16252;2691;22;33;41;1196;607;755;206;17;21
;Güneysu;;;;39;10627;9890;9720;7814;928;9;11;13;391;109;329;98;14;4
;;;Ýl/Ýlçe merkezi;;12;3739;3366;3302;2553;321;3;7;6;178;45;144;37;6;2
;;;Belde/Köy;;27;6888;6524;6418;5261;607;6;4;7;213;64;185;61;8;2
;Derepazarý;;;;24;5698;5154;5061;3567;715;3;6;24;407;102;161;60;8;8
;;;Ýl/Ýlçe merkezi;;12;2939;2615;2570;1745;366;2;1;16;255;55;86;37;3;4
;;;Belde/Köy;;12;2759;2539;2491;1822;349;1;5;8;152;47;75;23;5;4
;Hemþin;;;;13;2173;1867;1822;1050;149;6;12;29;413;19;117;19;4;4
;;;Ýl/Ýlçe merkezi;;5;1239;1067;1043;650;75;3;1;9;212;6;70;14;2;1
;;;Belde/Köy;;8;934;800;779;400;74;3;11;20;201;13;47;5;2;3
;Ýyidere;;;;27;6698;6010;5872;4404;654;5;11;7;380;104;213;70;11;13
;;;Ýl/Ýlçe merkezi;;15;3775;3295;3221;2457;368;5;6;2;157;63;107;43;7;6
;;;Belde/Köy;;12;2923;2715;2651;1947;286;0;5;5;223;41;106;27;4;7
