TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Sakarya;Seçim çevresi toplamý ;;;;2239;705270;637350;625866;358992;84952;856;1180;14048;84316;12982;59290;7898;1352;0
;;;Ýl/Ýlçe merkezi;;2239;705270;637350;625866;358992;84952;856;1180;14048;84316;12982;59290;7898;1352;0
;Akyazý;;;;202;63513;58659;57648;39325;7642;78;94;295;4945;1223;3190;794;62;0
;;;Ýl/Ýlçe merkezi;;202;63513;58659;57648;39325;7642;78;94;295;4945;1223;3190;794;62;0
;Geyve;;;;145;35671;32407;31628;18680;3688;89;107;438;3393;644;4155;378;56;0
;;;Ýl/Ýlçe merkezi;;145;35671;32407;31628;18680;3688;89;107;438;3393;644;4155;378;56;0
;Hendek;;;;204;58085;52573;51574;29932;8510;76;94;770;5410;580;5296;797;109;0
;;;Ýl/Ýlçe merkezi;;204;58085;52573;51574;29932;8510;76;94;770;5410;580;5296;797;109;0
;Karasu;;;;145;46447;40614;39886;22610;5602;60;109;853;5928;708;3379;561;76;0
;;;Ýl/Ýlçe merkezi;;145;46447;40614;39886;22610;5602;60;109;853;5928;708;3379;561;76;0
;Kaynarca;;;;73;17656;16343;15962;10702;2272;22;24;73;1372;263;990;229;15;0
;;;Ýl/Ýlçe merkezi;;73;17656;16343;15962;10702;2272;22;24;73;1372;263;990;229;15;0
;Sapanca;;;;97;29607;27219;26751;14063;3409;20;42;897;4911;745;2264;324;76;0
;;;Ýl/Ýlçe merkezi;;97;29607;27219;26751;14063;3409;20;42;897;4911;745;2264;324;76;0
;Kocaali;;;;63;16665;15005;14630;8638;2004;32;44;150;1689;490;1385;175;23;0
;;;Ýl/Ýlçe merkezi;;63;16665;15005;14630;8638;2004;32;44;150;1689;490;1385;175;23;0
;Pamukova;;;;78;21363;19316;18881;11252;2303;32;41;158;2427;378;2006;252;32;0
;;;Ýl/Ýlçe merkezi;;78;21363;19316;18881;11252;2303;32;41;158;2427;378;2006;252;32;0
;Taraklý;;;;28;5195;4828;4676;3008;647;12;17;13;391;119;417;48;4;0
;;;Ýl/Ýlçe merkezi;;28;5195;4828;4676;3008;647;12;17;13;391;119;417;48;4;0
;Ferizli;;;;65;18451;17041;16681;9803;2590;30;35;150;1982;257;1555;241;38;0
;;;Ýl/Ýlçe merkezi;;65;18451;17041;16681;9803;2590;30;35;150;1982;257;1555;241;38;0
;Karapürçek;;;;29;8988;8251;8050;5277;1106;15;14;99;775;287;350;107;20;0
;;;Ýl/Ýlçe merkezi;;29;8988;8251;8050;5277;1106;15;14;99;775;287;350;107;20;0
;Söðütlü;;;;40;10882;9928;9713;5678;989;19;21;57;1702;120;1019;92;16;0
;;;Ýl/Ýlçe merkezi;;40;10882;9928;9713;5678;989;19;21;57;1702;120;1019;92;16;0
;Adapazarý;;;;551;192628;172813;169975;90377;22897;209;297;4904;27627;3644;17536;2046;438;0
;;;Ýl/Ýlçe merkezi;;551;192628;172813;169975;90377;22897;209;297;4904;27627;3644;17536;2046;438;0
;Arifiye;;;;91;29476;27020;26565;15906;3681;29;42;1354;2660;531;1956;358;48;0
;;;Ýl/Ýlçe merkezi;;91;29476;27020;26565;15906;3681;29;42;1354;2660;531;1956;358;48;0
;Erenler;;;;178;60970;55021;54140;33981;7190;60;79;1310;5538;1071;4164;653;94;0
;;;Ýl/Ýlçe merkezi;;178;60970;55021;54140;33981;7190;60;79;1310;5538;1071;4164;653;94;0
;Serdivan;;;;250;89673;80312;79106;39760;10422;73;120;2527;13566;1922;9628;843;245;0
;;;Ýl/Ýlçe merkezi;;250;89673;80312;79106;39760;10422;73;120;2527;13566;1922;9628;843;245;0
