TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Samsun;Seçim çevresi toplamý ;;;;3247;959127;848938;827725;421974;133763;1281;1748;10645;141808;11854;91077;10969;1891;715
;;;Ýl/Ýlçe merkezi;;3247;959127;848938;827725;421974;133763;1281;1748;10645;141808;11854;91077;10969;1891;715
;Alaçam;;;;94;20159;17822;17027;7950;2439;64;83;249;3433;158;2369;228;45;9
;;;Ýl/Ýlçe merkezi;;94;20159;17822;17027;7950;2439;64;83;249;3433;158;2369;228;45;9
;Bafra;;;;369;108815;95550;92850;46984;16374;198;220;813;12701;1106;13039;1209;191;15
;;;Ýl/Ýlçe merkezi;;369;108815;95550;92850;46984;16374;198;220;813;12701;1106;13039;1209;191;15
;Çarþamba;;;;339;101695;89225;86572;52676;13072;150;185;517;9792;1160;7175;1277;127;441
;;;Ýl/Ýlçe merkezi;;339;101695;89225;86572;52676;13072;150;185;517;9792;1160;7175;1277;127;441
;Havza;;;;139;30219;27021;26247;12463;6279;50;66;365;4633;337;1605;404;38;7
;;;Ýl/Ýlçe merkezi;;139;30219;27021;26247;12463;6279;50;66;365;4633;337;1605;404;38;7
;Kavak;;;;105;16090;14531;14048;7491;2827;58;64;68;1581;164;1508;250;32;5
;;;Ýl/Ýlçe merkezi;;105;16090;14531;14048;7491;2827;58;64;68;1581;164;1508;250;32;5
;Ladik;;;;79;13433;12102;11743;6010;2253;32;30;83;1865;169;1110;162;24;5
;;;Ýl/Ýlçe merkezi;;79;13433;12102;11743;6010;2253;32;30;83;1865;169;1110;162;24;5
;Terme;;;;190;55684;49166;47729;29448;6140;79;103;259;5975;992;3981;674;64;14
;;;Ýl/Ýlçe merkezi;;190;55684;49166;47729;29448;6140;79;103;259;5975;992;3981;674;64;14
;Vezirköprü;;;;262;65400;59016;57167;37092;7674;115;172;322;5284;680;4927;806;80;15
;;;Ýl/Ýlçe merkezi;;262;65400;59016;57167;37092;7674;115;172;322;5284;680;4927;806;80;15
;Asarcýk;;;;52;11831;10708;10477;6081;2963;34;17;18;503;97;557;196;8;3
;;;Ýl/Ýlçe merkezi;;52;11831;10708;10477;6081;2963;34;17;18;503;97;557;196;8;3
;19.May;;;;71;19340;17053;16565;10549;2222;33;34;101;1705;227;1480;183;24;7
;;;Ýl/Ýlçe merkezi;;71;19340;17053;16565;10549;2222;33;34;101;1705;227;1480;183;24;7
;Salýpazarý;;;;59;14442;12839;12454;7888;1732;25;22;38;1495;127;887;215;19;6
;;;Ýl/Ýlçe merkezi;;59;14442;12839;12454;7888;1732;25;22;38;1495;127;887;215;19;6
;Tekkeköy;;;;131;38119;34446;33533;18042;4496;46;65;155;6490;465;3357;341;62;14
;;;Ýl/Ýlçe merkezi;;131;38119;34446;33533;18042;4496;46;65;155;6490;465;3357;341;62;14
;Ayvacýk;;;;59;14476;12974;12644;8122;2769;26;27;17;667;73;703;221;9;10
;;;Ýl/Ýlçe merkezi;;59;14476;12974;12644;8122;2769;26;27;17;667;73;703;221;9;10
;Yakakent;;;;26;6679;6027;5699;2996;455;19;23;115;1120;89;805;63;10;4
;;;Ýl/Ýlçe merkezi;;26;6679;6027;5699;2996;455;19;23;115;1120;89;805;63;10;4
;Atakum;;;;382;132649;117032;115160;41973;15991;77;201;3488;32740;1836;17300;1093;409;52
;;;Ýl/Ýlçe merkezi;;382;132649;117032;115160;41973;15991;77;201;3488;32740;1836;17300;1093;409;52
;Canik;;;;217;69450;62097;60675;35070;10771;73;96;387;7083;853;5208;993;129;12
;;;Ýl/Ýlçe merkezi;;217;69450;62097;60675;35070;10771;73;96;387;7083;853;5208;993;129;12
;Ýlkadým;;;;673;240646;211329;207135;91139;35306;202;340;3650;44741;3321;25066;2654;620;96
;;;Ýl/Ýlçe merkezi;;673;240646;211329;207135;91139;35306;202;340;3650;44741;3321;25066;2654;620;96
