TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Siirt;Seçim çevresi toplamý ;;;;614;179764;151462;146267;55890;4905;1776;269;76225;2990;1355;2181;573;103;0
;;;Ýl/Ýlçe merkezi;;355;120052;101196;98074;33903;3164;1352;136;54123;2256;1058;1572;430;80;0
;;;Belde/Köy;;259;59712;50266;48193;21987;1741;424;133;22102;734;297;609;143;23;0
;Baykan;;;;60;14482;11591;11061;4328;516;59;38;5542;278;121;131;41;7;0
;;;Ýl/Ýlçe merkezi;;11;3389;2674;2573;999;81;15;9;1297;83;29;47;11;2;0
;;;Belde/Köy;;49;11093;8917;8488;3329;435;44;29;4245;195;92;84;30;5;0
;Eruh;;;;38;10574;8797;8348;2097;344;208;19;5295;227;31;98;22;7;0
;;;Ýl/Ýlçe merkezi;;16;5132;3899;3699;944;159;137;5;2253;122;15;45;14;5;0
;;;Belde/Köy;;22;5442;4898;4649;1153;185;71;14;3042;105;16;53;8;2;0
;Kurtalan;;;;116;34223;27746;26855;6758;508;231;33;18523;369;191;172;63;7;0
;;;Ýl/Ýlçe merkezi;;59;19868;15946;15441;3839;166;117;22;10801;227;115;110;39;5;0
;;;Belde/Köy;;57;14355;11800;11414;2919;342;114;11;7722;142;76;62;24;2;0
;Pervari;;;;58;15319;12928;12300;6785;315;171;48;4173;209;63;471;56;9;0
;;;Ýl/Ýlçe merkezi;;10;3283;2577;2427;1039;86;88;2;868;88;24;215;14;3;0
;;;Belde/Köy;;48;12036;10351;9873;5746;229;83;46;3305;121;39;256;42;6;0
;Siirt Merkez;;;;277;91019;78667;76360;27718;2684;1022;110;40654;1752;864;1151;340;65;0
;;;Ýl/Ýlçe merkezi;;247;84824;73461;71394;25460;2566;978;97;38285;1669;846;1101;329;63;0
;;;Belde/Köy;;30;6195;5206;4966;2258;118;44;13;2369;83;18;50;11;2;0
;Þirvan;;;;53;11568;9436;9088;6408;476;71;21;1728;129;72;137;39;7;0
;;;Ýl/Ýlçe merkezi;;7;2179;1497;1416;742;76;12;1;459;51;19;40;14;2;0
;;;Belde/Köy;;46;9389;7939;7672;5666;400;59;20;1269;78;53;97;25;5;0
;Tillo;;;;12;2579;2297;2255;1796;62;14;0;310;26;13;21;12;1;0
;;;Ýl/Ýlçe merkezi;;5;1377;1142;1124;880;30;5;0;160;16;10;14;9;0;0
;;;Belde/Köy;;7;1202;1155;1131;916;32;9;0;150;10;3;7;3;1;0
