TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Sinop;Seçim çevresi toplamý ;;;;765;159840;140110;135289;73639;9562;444;778;2065;32784;1516;12675;1445;381;0
;;;Ýl/Ýlçe merkezi;;256;86576;75491;73576;32615;5621;149;269;1543;23171;824;8454;683;247;0
;;;Belde/Köy;;509;73264;64619;61713;41024;3941;295;509;522;9613;692;4221;762;134;0
;Ayancýk;;;;101;18756;16062;15529;8868;884;46;67;164;4192;152;954;155;47;0
;;;Ýl/Ýlçe merkezi;;30;9913;8403;8159;3859;490;16;29;121;2904;87;559;66;28;0
;;;Belde/Köy;;71;8843;7659;7370;5009;394;30;38;43;1288;65;395;89;19;0
;Boyabat;;;;166;32646;28656;27816;17503;2666;79;143;302;3784;350;2565;357;67;0
;;;Ýl/Ýlçe merkezi;;55;19469;17042;16609;9328;1859;32;49;222;2662;230;1963;218;46;0
;;;Belde/Köy;;111;13177;11614;11207;8175;807;47;94;80;1122;120;602;139;21;0
;Duraðan;;;;92;13191;11585;11176;7985;1244;41;74;72;739;120;737;140;24;0
;;;Ýl/Ýlçe merkezi;;17;5134;4492;4358;2745;584;12;16;40;440;34;420;56;11;0
;;;Belde/Köy;;75;8057;7093;6818;5240;660;29;58;32;299;86;317;84;13;0
;Erfelek;;;;55;9581;8333;7916;4322;300;45;61;95;2211;92;696;70;24;0
;;;Ýl/Ýlçe merkezi;;9;2647;2249;2159;976;97;9;10;47;774;21;201;13;11;0
;;;Belde/Köy;;46;6934;6084;5757;3346;203;36;51;48;1437;71;495;57;13;0
;Gerze;;;;86;19718;17306;16520;8687;942;66;120;368;4161;201;1725;205;45;0
;;;Ýl/Ýlçe merkezi;;39;12393;10841;10464;4779;597;32;49;297;3221;123;1210;125;31;0
;;;Belde/Köy;;47;7325;6465;6056;3908;345;34;71;71;940;78;515;80;14;0
;Sinop Merkez;;;;149;45729;40727;39521;14365;2268;88;183;948;15832;398;5027;263;149;0
;;;Ýl/Ýlçe merkezi;;87;30954;27356;26876;7801;1536;36;103;774;12371;269;3718;156;112;0
;;;Belde/Köy;;62;14775;13371;12645;6564;732;52;80;174;3461;129;1309;107;37;0
;Türkeli;;;;50;11408;9763;9500;6842;722;29;34;53;1063;97;507;143;10;0
;;;Ýl/Ýlçe merkezi;;12;4108;3455;3390;2248;301;8;3;31;480;36;255;25;3;0
;;;Belde/Köy;;38;7300;6308;6110;4594;421;21;31;22;583;61;252;118;7;0
;Dikmen;;;;33;4207;3549;3324;2285;198;28;65;44;424;34;188;51;7;0
;;;Ýl/Ýlçe merkezi;;4;1033;832;766;404;59;2;8;8;211;8;51;11;4;0
;;;Belde/Köy;;29;3174;2717;2558;1881;139;26;57;36;213;26;137;40;3;0
;Saraydüzü;;;;33;4604;4129;3987;2782;338;22;31;19;378;72;276;61;8;0
;;;Ýl/Ýlçe merkezi;;3;925;821;795;475;98;2;2;3;108;16;77;13;1;0
;;;Belde/Köy;;30;3679;3308;3192;2307;240;20;29;16;270;56;199;48;7;0
