TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Sivas;Seçim çevresi toplamý ;;;;2287;450068;404295;397033;213446;75405;532;615;6863;59813;7052;27292;5151;598;266
;;;Ýl/Ýlçe merkezi;;959;316317;282089;277176;148841;59538;294;392;3841;30872;5817;23133;3775;441;232
;;;Belde/Köy;;1328;133751;122206;119857;64605;15867;238;223;3022;28941;1235;4159;1376;157;34
;Divriði;;;;139;13734;12740;12448;2551;684;12;22;1173;7465;77;394;40;28;2
;;;Ýl/Ýlçe merkezi;;33;7797;6950;6749;2114;573;6;11;682;2920;53;335;36;17;2
;;;Belde/Köy;;106;5937;5790;5699;437;111;6;11;491;4545;24;59;4;11;0
;Gemerek;;;;81;17537;15076;14624;5956;2843;29;47;144;3616;202;1542;207;33;5
;;;Ýl/Ýlçe merkezi;;27;7953;6687;6497;2835;1584;11;20;45;813;102;968;103;14;2
;;;Belde/Köy;;54;9584;8389;8127;3121;1259;18;27;99;2803;100;574;104;19;3
;Gürün;;;;94;14254;12247;11993;5806;2201;10;28;247;1988;292;1221;169;25;6
;;;Ýl/Ýlçe merkezi;;30;7935;6755;6627;3138;1233;5;19;90;1032;173;824;98;10;5
;;;Belde/Köy;;64;6319;5492;5366;2668;968;5;9;157;956;119;397;71;15;1
;Hafik;;;;87;8236;7766;7643;3302;845;15;16;166;2798;147;259;85;9;1
