TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Tekirdað;Seçim çevresi toplamý ;;;;2172;736589;657317;644493;216811;47860;904;1589;40274;248539;5018;76707;4394;2168;229
;;;Ýl/Ýlçe merkezi;;2172;736589;657317;644493;216811;47860;904;1589;40274;248539;5018;76707;4394;2168;229
;Çerkezköy;;;;295;107385;94550;93009;36159;11208;153;152;11060;24916;851;7485;802;194;29
;;;Ýl/Ýlçe merkezi;;295;107385;94550;93009;36159;11208;153;152;11060;24916;851;7485;802;194;29
;Çorlu;;;;516;187789;167065;164576;49387;10648;163;382;11035;69919;1206;20168;987;604;77
;;;Ýl/Ýlçe merkezi;;516;187789;167065;164576;49387;10648;163;382;11035;69919;1206;20168;987;604;77
;Hayrabolu;;;;98;25143;22649;21893;6961;932;64;82;212;9570;132;3717;114;101;8
;;;Ýl/Ýlçe merkezi;;98;25143;22649;21893;6961;932;64;82;212;9570;132;3717;114;101;8
;Malkara;;;;154;41622;37609;36418;12849;2177;88;154;466;14660;293;5387;223;113;8
;;;Ýl/Ýlçe merkezi;;154;41622;37609;36418;12849;2177;88;154;466;14660;293;5387;223;113;8
;Muratlý;;;;70;21762;19899;19401;5161;1125;32;55;595;9694;125;2418;108;82;6
;;;Ýl/Ýlçe merkezi;;70;21762;19899;19401;5161;1125;32;55;595;9694;125;2418;108;82;6
;Saray;;;;112;37843;34405;33660;9122;1878;49;107;922;16598;325;4359;184;103;13
;;;Ýl/Ýlçe merkezi;;112;37843;34405;33660;9122;1878;49;107;922;16598;325;4359;184;103;13
;Þarköy;;;;89;26742;23517;22839;6861;1126;39;91;932;11026;119;2412;145;84;4
;;;Ýl/Ýlçe merkezi;;89;26742;23517;22839;6861;1126;39;91;932;11026;119;2412;145;84;4
;Marmaraereðlisi;;;;55;18855;16511;16158;4708;1084;16;54;2111;6266;107;1665;85;57;5
;;;Ýl/Ýlçe merkezi;;55;18855;16511;16158;4708;1084;16;54;2111;6266;107;1665;85;57;5
;Ergene;;;;129;45530;41371;40413;13216;2709;52;95;3064;15841;255;4790;244;130;17
;;;Ýl/Ýlçe merkezi;;129;45530;41371;40413;13216;2709;52;95;3064;15841;255;4790;244;130;17
;Kapaklý;;;;211;77415;68305;67101;28751;7520;81;103;4404;18980;532;5901;646;168;15
;;;Ýl/Ýlçe merkezi;;211;77415;68305;67101;28751;7520;81;103;4404;18980;532;5901;646;168;15
;Süleymanpaþa;;;;443;146503;131436;129025;43636;7453;167;314;5473;51069;1073;18405;856;532;47
;;;Ýl/Ýlçe merkezi;;443;146503;131436;129025;43636;7453;167;314;5473;51069;1073;18405;856;532;47
