TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Tokat;Seçim çevresi toplamý ;;;;1663;423449;382498;374996;183402;61264;615;664;5999;77417;4834;35463;4733;605;0
;;;Ýl/Ýlçe merkezi;;806;269164;240456;235964;114052;41379;328;349;3178;41447;3664;28141;3012;414;0
;;;Belde/Köy;;857;154285;142042;139032;69350;19885;287;315;2821;35970;1170;7322;1721;191;0
;Almus;;;;77;16055;14256;13942;5457;1621;23;26;734;5144;125;664;128;20;0
;;;Ýl/Ýlçe merkezi;;11;3636;3138;3078;1610;581;2;4;45;432;50;305;47;2;0
;;;Belde/Köy;;66;12419;11118;10864;3847;1040;21;22;689;4712;75;359;81;18;0
;Artova;;;;37;6379;5908;5794;3238;799;11;7;84;1144;55;395;49;12;0
;;;Ýl/Ýlçe merkezi;;8;2073;1832;1790;1124;314;4;2;7;61;32;229;16;1;0
;;;Belde/Köy;;29;4306;4076;4004;2114;485;7;5;77;1083;23;166;33;11;0
;Erbaa;;;;249;68513;61276;59542;30717;10948;153;166;275;9193;908;6133;959;90;0
;;;Ýl/Ýlçe merkezi;;136;46258;41158;40129;19601;7844;69;71;155;6515;635;4584;590;65;0
;;;Belde/Köy;;113;22255;20118;19413;11116;3104;84;95;120;2678;273;1549;369;25;0
;Niksar;;;;194;46111;41084;39974;18364;6336;63;104;729;9698;415;3595;605;65;0
;;;Ýl/Ýlçe merkezi;;75;24910;21882;21341;9874;3919;23;41;253;3912;283;2649;347;40;0
;;;Belde/Köy;;119;21201;19202;18633;8490;2417;40;63;476;5786;132;946;258;25;0
;Reþadiye;;;;130;23046;20003;19568;10201;3562;39;49;170;3709;218;1244;343;33;0
;;;Ýl/Ýlçe merkezi;;21;6697;5811;5703;2495;1454;6;9;64;867;85;592;120;11;0
;;;Belde/Köy;;109;16349;14192;13865;7706;2108;33;40;106;2842;133;652;223;22;0
;Tokat Merkez;;;;446;134476;123567;121840;63547;20290;156;159;1752;19627;1659;13094;1365;191;0
;;;Ýl/Ýlçe merkezi;;292;103070;93145;91787;47440;15150;110;128;1182;13387;1475;11700;1067;148;0
;;;Belde/Köy;;154;31406;30422;30053;16107;5140;46;31;570;6240;184;1394;298;43;0
;Turhal;;;;210;60401;54353;53374;24023;8033;74;63;1119;12917;884;5546;614;101;0
;;;Ýl/Ýlçe merkezi;;140;46643;41507;40752;17990;6254;58;51;954;9444;774;4684;453;90;0
;;;Belde/Köy;;70;13758;12846;12622;6033;1779;16;12;165;3473;110;862;161;11;0
;Zile;;;;207;42857;39321;38681;14401;5700;41;44;1047;13687;327;2936;419;79;0
;;;Ýl/Ýlçe merkezi;;85;24774;22248;21849;8153;3937;24;21;488;6306;228;2380;258;54;0
;;;Belde/Köy;;122;18083;17073;16832;6248;1763;17;23;559;7381;99;556;161;25;0
;Pazar;;;;40;10113;9328;9172;5812;1324;17;25;22;799;81;1001;84;7;0
;;;Ýl/Ýlçe merkezi;;11;3553;3263;3204;1873;484;7;11;7;313;22;444;41;2;0
;;;Belde/Köy;;29;6560;6065;5968;3939;840;10;14;15;486;59;557;43;5;0
;Yeþilyurt;;;;30;6359;5540;5428;3005;1180;18;7;46;611;73;417;68;3;0
;;;Ýl/Ýlçe merkezi;;10;2953;2524;2474;1414;604;12;3;16;86;37;274;27;1;0
;;;Belde/Köy;;20;3406;3016;2954;1591;576;6;4;30;525;36;143;41;2;0
;Baþçiftlik;;;;18;3829;3142;3059;1820;456;15;8;5;502;35;178;37;3;0
;;;Ýl/Ýlçe merkezi;;9;2197;1852;1807;1362;197;8;5;0;69;23;128;15;0;0
;;;Belde/Köy;;9;1632;1290;1252;458;259;7;3;5;433;12;50;22;3;0
;Sulusaray;;;;25;5310;4720;4622;2817;1015;5;6;16;386;54;260;62;1;0
;;;Ýl/Ýlçe merkezi;;8;2400;2096;2050;1116;641;5;3;7;55;20;172;31;0;0
;;;Belde/Köy;;17;2910;2624;2572;1701;374;0;3;9;331;34;88;31;1;0
