TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Trabzon;Seçim çevresi toplamý ;;;;2086;583183;509406;497820;274490;66992;615;916;4273;74348;12495;56267;6035;1102;287
;;;Ýl/Ýlçe merkezi;;2086;583183;509406;497820;274490;66992;615;916;4273;74348;12495;56267;6035;1102;287
;Akçaabat;;;;328;89071;78911;76795;43818;10415;109;164;444;10093;1684;8934;936;162;36
;;;Ýl/Ýlçe merkezi;;328;89071;78911;76795;43818;10415;109;164;444;10093;1684;8934;936;162;36
;Araklý;;;;138;34344;28633;28144;19489;3958;19;37;179;1543;964;1534;389;27;5
;;;Ýl/Ýlçe merkezi;;138;34344;28633;28144;19489;3958;19;37;179;1543;964;1534;389;27;5
;Arsin;;;;79;21038;18380;18113;11989;2693;15;32;59;1249;515;1326;207;23;5
;;;Ýl/Ýlçe merkezi;;79;21038;18380;18113;11989;2693;15;32;59;1249;515;1326;207;23;5
;Çaykara;;;;59;11059;9521;9160;6127;968;19;34;58;973;263;587;103;21;7
;;;Ýl/Ýlçe merkezi;;59;11059;9521;9160;6127;968;19;34;58;973;263;587;103;21;7
;Maçka;;;;101;19243;16654;16271;9571;1873;18;33;75;2996;387;1091;199;22;6
;;;Ýl/Ýlçe merkezi;;101;19243;16654;16271;9571;1873;18;33;75;2996;387;1091;199;22;6
;Of;;;;130;33135;29257;28687;19253;4394;23;54;182;1957;1152;1214;405;34;19
;;;Ýl/Ýlçe merkezi;;130;33135;29257;28687;19253;4394;23;54;182;1957;1152;1214;405;34;19
;Sürmene;;;;90;19719;16770;16324;10363;2054;21;32;95;1781;611;1140;194;28;5
;;;Ýl/Ýlçe merkezi;;90;19719;16770;16324;10363;2054;21;32;95;1781;611;1140;194;28;5
;Tonya;;;;45;11848;10503;9969;5396;730;29;31;204;2421;270;755;94;34;5
;;;Ýl/Ýlçe merkezi;;45;11848;10503;9969;5396;730;29;31;204;2421;270;755;94;34;5
;Vakfýkebir;;;;83;20857;18407;17837;9820;2621;37;44;83;2576;401;1976;235;40;4
;;;Ýl/Ýlçe merkezi;;83;20857;18407;17837;9820;2621;37;44;83;2576;401;1976;235;40;4
;Yomra;;;;94;26731;22879;22464;12595;3392;30;45;150;2659;432;2835;282;42;2
;;;Ýl/Ýlçe merkezi;;94;26731;22879;22464;12595;3392;30;45;150;2659;432;2835;282;42;2
;Beþikdüzü;;;;62;16871;14914;14460;5236;1401;35;52;160;4318;195;2852;147;56;8
;;;Ýl/Ýlçe merkezi;;62;16871;14914;14460;5236;1401;35;52;160;4318;195;2852;147;56;8
;Þalpazarý;;;;38;9231;8263;7986;5051;732;27;19;24;1003;169;865;75;16;5
;;;Ýl/Ýlçe merkezi;;38;9231;8263;7986;5051;732;27;19;24;1003;169;865;75;16;5
;Çarþýbaþý;;;;45;11785;10547;10204;5761;1533;34;29;46;1194;116;1333;140;16;2
;;;Ýl/Ýlçe merkezi;;45;11785;10547;10204;5761;1533;34;29;46;1194;116;1333;140;16;2
;Dernekpazarý;;;;17;3332;2923;2832;2086;220;2;8;3;170;139;167;33;3;1
;;;Ýl/Ýlçe merkezi;;17;3332;2923;2832;2086;220;2;8;3;170;139;167;33;3;1
;Düzköy;;;;37;10682;9195;8915;4823;1160;15;16;85;1918;138;620;119;18;3
;;;Ýl/Ýlçe merkezi;;37;10682;9195;8915;4823;1160;15;16;85;1918;138;620;119;18;3
;Hayrat;;;;40;6444;5736;5643;4172;766;11;4;9;265;112;169;78;5;52
;;;Ýl/Ýlçe merkezi;;40;6444;5736;5643;4172;766;11;4;9;265;112;169;78;5;52
;Köprübaþý;;;;21;3843;3213;3099;2229;368;11;2;7;150;102;185;44;1;0
;;;Ýl/Ýlçe merkezi;;21;3843;3213;3099;2229;368;11;2;7;150;102;185;44;1;0
;Ortahisar;;;;679;233950;204700;200917;96711;27714;160;280;2410;37082;4845;28684;2355;554;122
;;;Ýl/Ýlçe merkezi;;679;233950;204700;200917;96711;27714;160;280;2410;37082;4845;28684;2355;554;122
