TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Tunceli;Seçim çevresi toplamý ;;;;434;64290;55449;54194;7228;3019;57;63;28219;14358;165;849;170;51;15
;;;Ýl/Ýlçe merkezi;;129;39930;32806;32039;4215;1727;31;28;16950;8256;103;601;81;37;10
;;;Belde/Köy;;305;24360;22643;22155;3013;1292;26;35;11269;6102;62;248;89;14;5
;Çemiþgezek;;;;39;6038;5052;4936;2324;562;4;4;729;1061;30;161;54;7;0
;;;Ýl/Ýlçe merkezi;;8;2296;1861;1823;903;199;1;2;197;415;15;70;17;4;0
;;;Belde/Köy;;31;3742;3191;3113;1421;363;3;2;532;646;15;91;37;3;0
;Hozat;;;;32;4500;3813;3725;409;181;1;6;1601;1447;8;55;12;5;0
;;;Ýl/Ýlçe merkezi;;10;2938;2148;2092;182;86;1;3;918;849;6;37;6;4;0
;;;Belde/Köy;;22;1562;1665;1633;227;95;0;3;683;598;2;18;6;1;0
;Mazgirt;;;;75;6718;5869;5721;459;189;7;2;3895;1094;6;47;16;2;4
;;;Ýl/Ýlçe merkezi;;4;1295;932;902;80;35;1;0;508;258;0;17;3;0;0
;;;Belde/Köy;;71;5423;4937;4819;379;154;6;2;3387;836;6;30;13;2;4
;Nazýmiye;;;;28;2810;2572;2482;206;170;7;1;1165;872;9;40;11;1;0
;;;Ýl/Ýlçe merkezi;;3;1118;899;858;103;67;2;1;379;292;4;10;0;0;0
;;;Belde/Köy;;25;1692;1673;1624;103;103;5;0;786;580;5;30;11;1;0
;Ovacýk;;;;64;5406;4691;4591;260;221;3;4;2482;1573;12;25;5;5;1
;;;Ýl/Ýlçe merkezi;;8;2607;1950;1898;151;132;2;1;962;625;3;14;5;2;1
;;;Belde/Köy;;56;2799;2741;2693;109;89;1;3;1520;948;9;11;0;3;0
;Pertek;;;;61;8813;7568;7357;1109;620;15;19;3469;1944;29;110;34;5;3
;;;Ýl/Ýlçe merkezi;;16;4799;3930;3792;709;357;7;5;1573;1008;17;89;19;5;3
;;;Belde/Köy;;45;4014;3638;3565;400;263;8;14;1896;936;12;21;15;0;0
;Pülümür;;;;13;3021;2738;2644;216;95;4;3;1088;1181;13;40;1;3;0
;;;Ýl/Ýlçe merkezi;;8;1590;1423;1359;148;50;2;1;587;533;6;30;0;2;0
;;;Belde/Köy;;5;1431;1315;1285;68;45;2;2;501;648;7;10;1;1;0
;Tunceli Merkez;;;;122;26984;23146;22738;2245;981;16;24;13790;5186;58;371;37;23;7
;;;Ýl/Ýlçe merkezi;;72;23287;19663;19315;1939;801;15;15;11826;4276;52;334;31;20;6
;;;Belde/Köy;;50;3697;3483;3423;306;180;1;9;1964;910;6;37;6;3;1
