TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Uþak;Seçim çevresi toplamý ;;;;896;266493;242827;236007;100364;24672;604;724;6195;67031;3263;30507;2049;598;0
;;;Ýl/Ýlçe merkezi;;537;186559;169158;165520;68028;17678;298;322;5491;47150;2600;22096;1430;427;0
;;;Belde/Köy;;359;79934;73669;70487;32336;6994;306;402;704;19881;663;8411;619;171;0
;Banaz;;;;105;28094;25493;24450;10006;2850;81;120;217;7243;182;3450;244;57;0
;;;Ýl/Ýlçe merkezi;;39;12497;11127;10798;3988;1396;22;21;151;3258;89;1735;110;28;0
;;;Belde/Köy;;66;15597;14366;13652;6018;1454;59;99;66;3985;93;1715;134;29;0
;Eþme;;;;120;27918;25269;24278;9395;1531;138;116;607;8519;183;3572;147;70;0
;;;Ýl/Ýlçe merkezi;;35;11148;9870;9574;3288;596;37;25;398;3534;67;1550;52;27;0
;;;Belde/Köy;;85;16770;15399;14704;6107;935;101;91;209;4985;116;2022;95;43;0
;Karahallý;;;;31;8491;7576;7248;3417;436;19;26;99;2139;101;942;49;20;0
;;;Ýl/Ýlçe merkezi;;11;3137;2777;2696;1331;159;7;6;49;804;31;288;14;7;0
;;;Belde/Köy;;20;5354;4799;4552;2086;277;12;20;50;1335;70;654;35;13;0
;Sivaslý;;;;54;15605;14238;13653;5753;1238;44;47;201;4714;81;1447;85;43;0
;;;Ýl/Ýlçe merkezi;;16;5220;4801;4649;1560;297;4;11;135;2097;18;495;16;16;0
;;;Belde/Köy;;38;10385;9437;9004;4193;941;40;36;66;2617;63;952;69;27;0
;Ulubey;;;;48;10595;9704;9356;3362;793;34;45;154;3559;70;1242;72;25;0
;;;Ýl/Ýlçe merkezi;;17;5122;4673;4555;1754;378;8;10;70;1573;43;669;40;10;0
;;;Belde/Köy;;31;5473;5031;4801;1608;415;26;35;84;1986;27;573;32;15;0
;Uþak Merkez;;;;538;175790;160547;157022;68431;17824;288;370;4917;40857;2646;19854;1452;383;0
;;;Ýl/Ýlçe merkezi;;419;149435;135910;133248;56107;14852;220;249;4688;35884;2352;17359;1198;339;0
;;;Belde/Köy;;119;26355;24637;23774;12324;2972;68;121;229;4973;294;2495;254;44;0
