TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Van;Seçim çevresi toplamý ;;;;2049;637867;529789;511859;157637;14798;4753;808;310273;10946;4031;5992;2009;298;314
;;;Ýl/Ýlçe merkezi;;2049;637867;529789;511859;157637;14798;4753;808;310273;10946;4031;5992;2009;298;314
;Baþkale;;;;102;27749;23442;22862;2440;316;73;41;19287;424;73;166;32;6;4
;;;Ýl/Ýlçe merkezi;;102;27749;23442;22862;2440;316;73;41;19287;424;73;166;32;6;4
;Çatak;;;;48;11662;9949;9450;2814;211;44;32;5847;225;123;118;20;12;4
;;;Ýl/Ýlçe merkezi;;48;11662;9949;9450;2814;211;44;32;5847;225;123;118;20;12;4
;Erciþ;;;;311;97595;77752;75093;25720;3070;489;108;42265;1378;472;1166;364;44;17
;;;Ýl/Ýlçe merkezi;;311;97595;77752;75093;25720;3070;489;108;42265;1378;472;1166;364;44;17
;Gevaþ;;;;67;17662;14844;14157;6209;573;102;29;6449;241;299;168;71;9;7
;;;Ýl/Ýlçe merkezi;;67;17662;14844;14157;6209;573;102;29;6449;241;299;168;71;9;7
;Gürpýnar;;;;83;20678;16551;15818;5551;298;335;36;8954;242;181;175;37;7;2
;;;Ýl/Ýlçe merkezi;;83;20678;16551;15818;5551;298;335;36;8954;242;181;175;37;7;2
;Muradiye;;;;102;27446;22225;21307;5303;317;382;52;14320;463;172;228;48;18;4
;;;Ýl/Ýlçe merkezi;;102;27446;22225;21307;5303;317;382;52;14320;463;172;228;48;18;4
;Özalp;;;;118;35221;29278;28211;3045;339;84;57;23974;391;76;181;41;18;5
;;;Ýl/Ýlçe merkezi;;118;35221;29278;28211;3045;339;84;57;23974;391;76;181;41;18;5
;Bahçesaray;;;;33;7746;6229;5810;2856;164;38;25;2333;95;117;100;29;7;46
;;;Ýl/Ýlçe merkezi;;33;7746;6229;5810;2856;164;38;25;2333;95;117;100;29;7;46
;Çaldýran;;;;123;32174;26158;25300;5048;383;79;67;18747;468;184;260;48;12;4
;;;Ýl/Ýlçe merkezi;;123;32174;26158;25300;5048;383;79;67;18747;468;184;260;48;12;4
;Edremit;;;;223;75697;63969;62033;21023;1833;486;60;35457;1397;536;921;250;38;32
;;;Ýl/Ýlçe merkezi;;223;75697;63969;62033;21023;1833;486;60;35457;1397;536;921;250;38;32
;Saray;;;;41;11651;9690;9265;1468;262;25;25;7188;132;42;88;20;12;3
;;;Ýl/Ýlçe merkezi;;41;11651;9690;9265;1468;262;25;25;7188;132;42;88;20;12;3
;Ýpekyolu;;;;522;185524;156586;151688;52834;4080;1698;184;85171;3970;1233;1633;647;87;151
;;;Ýl/Ýlçe merkezi;;522;185524;156586;151688;52834;4080;1698;184;85171;3970;1233;1633;647;87;151
;Tuþba;;;;276;87062;73116;70865;23326;2952;918;92;40281;1520;523;788;402;28;35
;;;Ýl/Ýlçe merkezi;;276;87062;73116;70865;23326;2952;918;92;40281;1520;523;788;402;28;35
