TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Yalova;Seçim çevresi toplamý ;;;;515;178178;155158;152467;65787;11659;286;322;11713;43843;1995;15089;1347;426;0
;;;Ýl/Ýlçe merkezi;;349;126640;109487;107711;44684;8163;204;217;8827;31724;1483;11142;955;312;0
;;;Belde/Köy;;166;51538;45671;44756;21103;3496;82;105;2886;12119;512;3947;392;114;0
;Yalova Merkez;;;;270;97657;84855;83448;35440;5727;163;157;7405;23791;1076;8746;724;219;0
;;;Ýl/Ýlçe merkezi;;225;82436;71336;70176;29232;4972;139;130;6106;20390;919;7490;614;184;0
;;;Belde/Köy;;45;15221;13519;13272;6208;755;24;27;1299;3401;157;1256;110;35;0
;Altýnova;;;;61;18767;16762;16475;7938;1247;54;33;1080;4464;211;1272;137;39;0
;;;Ýl/Ýlçe merkezi;;13;4484;4059;4000;2216;311;14;4;243;847;68;260;33;4;0
;;;Belde/Köy;;48;14283;12703;12475;5722;936;40;29;837;3617;143;1012;104;35;0
;Armutlu;;;;23;6829;5984;5882;2581;864;15;11;361;1257;113;591;67;22;0
;;;Ýl/Ýlçe merkezi;;15;4831;4174;4112;1604;543;13;8;358;966;89;464;48;19;0
;;;Belde/Köy;;8;1998;1810;1770;977;321;2;3;3;291;24;127;19;3;0
;Çýnarcýk;;;;69;23879;20284;19924;7844;1622;16;63;1510;6768;178;1676;190;57;0
;;;Ýl/Ýlçe merkezi;;32;11696;9741;9577;2998;692;8;39;897;3951;79;793;82;38;0
;;;Belde/Köy;;37;12183;10543;10347;4846;930;8;24;613;2817;99;883;108;19;0
;Çiftlikköy;;;;80;26885;23562;23111;9864;1963;37;50;1288;6883;336;2398;212;80;0
;;;Ýl/Ýlçe merkezi;;59;21435;18582;18276;7720;1567;29;32;1203;5285;278;1932;171;59;0
;;;Belde/Köy;;21;5450;4980;4835;2144;396;8;18;85;1598;58;466;41;21;0
;Termal;;;;12;4161;3711;3627;2120;236;1;8;69;680;81;406;17;9;0
;;;Ýl/Ýlçe merkezi;;5;1758;1595;1570;914;78;1;4;20;285;50;203;7;8;0
;;;Belde/Köy;;7;2403;2116;2057;1206;158;0;4;49;395;31;203;10;1;0
