TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Yozgat;Seçim çevresi toplamý ;;;;1283;296268;256041;251204;131340;62006;443;430;2100;28575;2966;18727;4294;323;0
;;;Ýl/Ýlçe merkezi;;568;181328;155791;153024;75516;40913;231;210;1273;16352;2208;13364;2728;229;0
;;;Belde/Köy;;715;114940;100250;98180;55824;21093;212;220;827;12223;758;5363;1566;94;0
;Akdaðmadeni;;;;137;29699;23813;23309;13393;5365;50;40;73;1831;326;1814;386;31;0
;;;Ýl/Ýlçe merkezi;;46;14797;11477;11230;5781;2793;26;17;38;894;220;1233;206;22;0
;;;Belde/Köy;;91;14902;12336;12079;7612;2572;24;23;35;937;106;581;180;9;0
;Boðazlýyan;;;;97;25176;21883;21359;8959;4199;29;37;234;5605;147;1792;319;38;0
;;;Ýl/Ýlçe merkezi;;41;12066;10750;10544;3601;2066;6;11;170;3528;67;960;111;24;0
;;;Belde/Köy;;56;13110;11133;10815;5358;2133;23;26;64;2077;80;832;208;14;0
;Çayýralan;;;;42;9546;7285;7102;3528;1294;16;34;70;1453;52;530;111;14;0
;;;Ýl/Ýlçe merkezi;;12;3526;2758;2697;1054;457;5;16;18;825;16;272;30;4;0
;;;Belde/Köy;;30;6020;4527;4405;2474;837;11;18;52;628;36;258;81;10;0
;Çekerek;;;;70;14355;13119;12842;8099;2035;29;26;101;1427;199;739;167;20;0
;;;Ýl/Ýlçe merkezi;;22;6659;5875;5737;3611;1048;10;10;22;310;128;504;83;11;0
;;;Belde/Köy;;48;7696;7244;7105;4488;987;19;16;79;1117;71;235;84;9;0
;Sarýkaya;;;;108;24076;19499;19090;10198;5760;38;39;76;1007;182;1303;478;9;0
;;;Ýl/Ýlçe merkezi;;42;12474;9865;9690;4929;2979;19;12;58;573;120;723;270;7;0
;;;Belde/Köy;;66;11602;9634;9400;5269;2781;19;27;18;434;62;580;208;2;0
;Sorgun;;;;223;55389;48833;48096;27206;12947;74;61;449;3024;640;2867;779;49;0
;;;Ýl/Ýlçe merkezi;;103;35730;31178;30701;17153;9044;41;34;127;1095;519;2115;540;33;0
;;;Belde/Köy;;120;19659;17655;17395;10053;3903;33;27;322;1929;121;752;239;16;0
;Þefaatli;;;;71;11524;9932;9739;4606;2092;33;21;42;1267;69;1438;158;13;0
;;;Ýl/Ýlçe merkezi;;25;6506;5509;5416;2511;1204;18;8;25;602;47;914;82;5;0
;;;Belde/Köy;;46;5018;4423;4323;2095;888;15;13;17;665;22;524;76;8;0
;Yerköy;;;;125;27094;23412;22984;11178;5052;48;58;473;2834;384;2551;371;35;0
;;;Ýl/Ýlçe merkezi;;63;20664;17598;17278;8085;3772;34;33;456;2239;292;2058;281;28;0
;;;Belde/Köy;;62;6430;5814;5706;3093;1280;14;25;17;595;92;493;90;7;0
;Yozgat Merkez;;;;267;68154;61346;60271;29086;17263;80;72;450;7191;731;4186;1118;94;0
;;;Ýl/Ýlçe merkezi;;164;55395;49459;48615;23068;14510;52;51;335;5195;652;3720;950;82;0
;;;Belde/Köy;;103;12759;11887;11656;6018;2753;28;21;115;1996;79;466;168;12;0
;Aydýncýk;;;;35;7295;6730;6623;4177;1181;14;12;86;650;47;363;88;5;0
;;;Ýl/Ýlçe merkezi;;8;2269;2061;2035;1314;422;3;4;4;89;17;152;29;1;0
;;;Belde/Köy;;27;5026;4669;4588;2863;759;11;8;82;561;30;211;59;4;0
;Çandýr;;;;15;3386;2877;2816;1198;695;6;10;4;634;12;204;51;2;0
;;;Ýl/Ýlçe merkezi;;11;2651;2262;2222;905;551;4;8;2;537;11;172;30;2;0
;;;Belde/Köy;;4;735;615;594;293;144;2;2;2;97;1;32;21;0;0
;Kadýþehri;;;;39;7901;7139;7026;4336;1632;7;5;18;595;100;211;117;5;0
;;;Ýl/Ýlçe merkezi;;10;2839;2496;2446;1365;759;7;2;2;67;78;120;43;3;0
;;;Belde/Köy;;29;5062;4643;4580;2971;873;0;3;16;528;22;91;74;2;0
;Saraykent;;;;35;8361;6351;6246;3764;1883;12;6;8;116;60;298;97;2;0
;;;Ýl/Ýlçe merkezi;;12;3656;2665;2622;1275;1002;3;1;5;66;31;185;52;2;0
;;;Belde/Köy;;23;4705;3686;3624;2489;881;9;5;3;50;29;113;45;0;0
;Yenifakýlý;;;;19;4312;3822;3701;1612;608;7;9;16;941;17;431;54;6;0
;;;Ýl/Ýlçe merkezi;;9;2096;1838;1791;864;306;3;3;11;332;10;236;21;5;0
;;;Belde/Köy;;10;2216;1984;1910;748;302;4;6;5;609;7;195;33;1;0
