TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Zonguldak;Seçim çevresi toplamý ;;;;1508;446863;392815;377652;170175;40689;815;1522;5382;116804;6726;29677;3461;1210;1191
;;;Ýl/Ýlçe merkezi;;788;266552;232043;226368;88473;26421;279;630;4275;79302;4245;19159;1998;814;772
;;;Belde/Köy;;720;180311;160772;151284;81702;14268;536;892;1107;37502;2481;10518;1463;396;419
;Çaycuma;;;;257;72211;64152;60854;29979;3351;166;254;599;20379;1290;4248;403;167;18
;;;Ýl/Ýlçe merkezi;;63;20358;17963;17430;7170;979;18;39;308;7096;367;1281;118;52;2
;;;Belde/Köy;;194;51853;46189;43424;22809;2372;148;215;291;13283;923;2967;285;115;16
;Devrek;;;;168;45179;38702;36642;20376;2644;118;219;352;8727;693;3049;338;106;20
;;;Ýl/Ýlçe merkezi;;57;19618;16632;16106;7737;1386;22;46;201;4681;329;1500;140;52;12
;;;Belde/Köy;;111;25561;22070;20536;12639;1258;96;173;151;4046;364;1549;198;54;8
;Ereðli;;;;415;128418;114891;110877;48258;13796;203;390;1894;33996;1207;8729;1055;363;986
;;;Ýl/Ýlçe merkezi;;249;84835;75516;73765;28361;9233;75;175;1528;25652;812;6301;686;279;663
;;;Belde/Köy;;166;43583;39375;37112;19897;4563;128;215;366;8344;395;2428;369;84;323
;Zonguldak Merkez;;;;287;90204;77532;75303;28721;9434;135;276;1375;26599;1750;6027;680;280;26
;;;Ýl/Ýlçe merkezi;;227;77122;65902;64408;22995;7798;99;208;1318;24294;1556;5334;545;241;20
;;;Belde/Köy;;60;13082;11630;10895;5726;1636;36;68;57;2305;194;693;135;39;6
;Alaplý;;;;120;32480;29486;28400;14552;3524;63;116;322;6749;387;2127;394;76;90
;;;Ýl/Ýlçe merkezi;;42;14138;12608;12360;5204;1495;14;28;232;3797;197;1170;138;41;44
;;;Belde/Köy;;78;18342;16878;16040;9348;2029;49;88;90;2952;190;957;256;35;46
;Gökçebey;;;;60;16723;14672;13649;6392;961;63;93;163;4410;211;1169;120;57;10
;;;Ýl/Ýlçe merkezi;;20;6202;5289;5061;1914;381;9;22;81;2079;70;444;35;23;3
;;;Belde/Köy;;40;10521;9383;8588;4478;580;54;71;82;2331;141;725;85;34;7
;Kilimli;;;;87;27440;23641;22977;8637;3478;24;76;181;7944;552;1802;206;62;15
;;;Ýl/Ýlçe merkezi;;46;15729;13423;13084;5122;2153;16;47;128;4188;347;911;134;31;7
;;;Belde/Köy;;41;11711;10218;9893;3515;1325;8;29;53;3756;205;891;72;31;8
;Kozlu;;;;114;34208;29739;28950;13260;3501;43;98;496;8000;636;2526;265;99;26
;;;Ýl/Ýlçe merkezi;;84;28550;24710;24154;9970;2996;26;65;479;7515;567;2218;202;95;21
;;;Belde/Köy;;30;5658;5029;4796;3290;505;17;33;17;485;69;308;63;4;5
