TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Çanakkale;Seçim çevresi toplamý ;;;;1500;406809;371045;362838;131900;24648;699;1215;12069;123725;2786;61873;2476;1184;263
;;;Ýl/Ýlçe merkezi;;679;232102;208734;205322;66923;14496;194;456;8135;74118;1448;37380;1291;708;173
;;;Belde/Köy;;821;174707;162311;157516;64977;10152;505;759;3934;49607;1338;24493;1185;476;90
;Ayvacýk;;;;125;27344;24896;24305;9030;1517;56;129;988;8894;142;3339;137;66;7
;;;Ýl/Ýlçe merkezi;;21;6697;5720;5556;2206;384;9;19;130;1863;44;848;35;15;3
;;;Belde/Köy;;104;20647;19176;18749;6824;1133;47;110;858;7031;98;2491;102;51;4
;Bayramiç;;;;116;23801;22169;21461;7895;1022;83;103;297;8104;178;3592;108;63;16
;;;Ýl/Ýlçe merkezi;;38;11545;10525;10261;3308;468;20;20;181;4206;76;1901;48;24;9
;;;Belde/Köy;;78;12256;11644;11200;4587;554;63;83;116;3898;102;1691;60;39;7
;Biga;;;;253;69038;63206;61874;29679;4914;116;172;1113;16065;520;8536;564;173;22
;;;Ýl/Ýlçe merkezi;;110;39054;35280;34721;15454;2932;24;68;960;9738;247;4895;291;100;12
;;;Belde/Köy;;143;29984;27926;27153;14225;1982;92;104;153;6327;273;3641;273;73;10
;Bozcaada;;;;7;2448;2198;2175;480;68;2;3;227;1043;13;318;10;10;1
;;;Ýl/Ýlçe merkezi;;7;2448;2198;2175;480;68;2;3;227;1043;13;318;10;10;1
;Çan;;;;150;38426;35845;35095;15052;3128;76;84;295;9165;205;6735;256;86;13
;;;Ýl/Ýlçe merkezi;;68;22608;20917;20562;8236;1893;23;28;218;5674;111;4160;149;62;8
;;;Belde/Köy;;82;15818;14928;14533;6816;1235;53;56;77;3491;94;2575;107;24;5
;Çanakkale Merkez;;;;386;126514;114297;112581;29297;6675;130;331;6277;45953;697;22068;567;432;154
;;;Ýl/Ýlçe merkezi;;267;93626;84250;83175;20635;5031;61;201;4586;34886;512;16405;408;328;122
;;;Belde/Köy;;119;32888;30047;29406;8662;1644;69;130;1691;11067;185;5663;159;104;32
;Eceabat;;;;28;7409;6825;6635;1462;245;13;22;177;3315;40;1312;20;28;1
;;;Ýl/Ýlçe merkezi;;14;4554;4142;4044;902;149;4;9;142;1876;21;905;17;18;1
;;;Belde/Köy;;14;2855;2683;2591;560;96;9;13;35;1439;19;407;3;10;0
;Ezine;;;;97;24916;22771;22066;8147;1307;60;77;531;7947;175;3622;117;68;15
;;;Ýl/Ýlçe merkezi;;30;10017;8975;8761;3597;671;12;12;146;2726;50;1466;57;22;2
;;;Belde/Köy;;67;14899;13796;13305;4550;636;48;65;385;5221;125;2156;60;46;13
;Gelibolu;;;;103;32908;29111;28375;8090;1671;54;92;867;12551;427;4313;159;134;17
;;;Ýl/Ýlçe merkezi;;62;22217;19335;19005;5151;1274;17;55;729;8227;214;3121;121;86;10
;;;Belde/Köy;;41;10691;9776;9370;2939;397;37;37;138;4324;213;1192;38;48;7
;Gökçeada;;;;26;6103;5265;5103;1523;471;8;27;739;1359;49;851;52;17;7
;;;Ýl/Ýlçe merkezi;;15;4146;3566;3492;860;347;4;14;556;1034;36;585;39;13;4
;;;Belde/Köy;;11;1957;1699;1611;663;124;4;13;183;325;13;266;13;4;3
;Lapseki;;;;87;21542;19937;19412;8504;1761;45;65;386;4622;125;3678;175;47;4
;;;Ýl/Ýlçe merkezi;;30;9643;8768;8626;3824;833;4;15;201;1775;53;1824;78;18;1
;;;Belde/Köy;;57;11899;11169;10786;4680;928;41;50;185;2847;72;1854;97;29;3
;Yenice;;;;122;26360;24525;23756;12741;1869;56;110;172;4707;215;3509;311;60;6
;;;Ýl/Ýlçe merkezi;;17;5547;5058;4944;2270;446;14;12;59;1070;71;952;38;12;0
;;;Belde/Köy;;105;20813;19467;18812;10471;1423;42;98;113;3637;144;2557;273;48;6
