TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Çankýrý;Seçim çevresi toplamý ;;;;684;133958;118106;115544;67305;22626;203;241;702;7277;1270;13856;1839;225;0
;;;Ýl/Ýlçe merkezi;;282;87211;76125;74503;38719;16095;99;133;596;5538;895;11177;1079;172;0
;;;Belde/Köy;;402;46747;41981;41041;28586;6531;104;108;106;1739;375;2679;760;53;0
;Çankýrý Merkez;;;;207;61987;54973;53922;28337;12249;64;80;459;2918;562;8295;831;127;0
;;;Ýl/Ýlçe merkezi;;154;54133;47775;46885;23722;10724;51;66;438;2751;527;7793;692;121;0
;;;Belde/Köy;;53;7854;7198;7037;4615;1525;13;14;21;167;35;502;139;6;0
;Çerkeþ;;;;77;11799;9893;9611;5336;1562;28;38;70;1142;130;1154;131;20;0
;;;Ýl/Ýlçe merkezi;;23;6525;5425;5263;2637;937;9;20;55;754;71;703;67;10;0
;;;Belde/Köy;;54;5274;4468;4348;2699;625;19;18;15;388;59;451;64;10;0
;Eldivan;;;;27;4836;4327;4195;2558;675;9;12;10;323;59;472;64;13;0
;;;Ýl/Ýlçe merkezi;;10;2361;2102;2027;984;397;4;5;8;236;27;323;35;8;0
;;;Belde/Köy;;17;2475;2225;2168;1574;278;5;7;2;87;32;149;29;5;0
;Ilgaz;;;;95;11438;10083;9800;6093;1675;26;31;30;590;152;1001;188;14;0
;;;Ýl/Ýlçe merkezi;;20;5811;4997;4839;2614;986;12;12;18;388;81;639;82;7;0
;;;Belde/Köy;;75;5627;5086;4961;3479;689;14;19;12;202;71;362;106;7;0
;Kurþunlu;;;;45;6624;5831;5701;3583;876;20;16;30;512;51;508;97;8;0
;;;Ýl/Ýlçe merkezi;;16;3547;3040;2964;1585;543;10;14;24;394;24;333;33;4;0
;;;Belde/Köy;;29;3077;2791;2737;1998;333;10;2;6;118;27;175;64;4;0
;Orta;;;;45;8379;7404;7286;5172;1370;4;10;14;157;106;317;128;8;0
;;;Ýl/Ýlçe merkezi;;9;2387;1980;1960;1156;487;0;4;4;98;59;111;37;4;0
;;;Belde/Köy;;36;5992;5424;5326;4016;883;4;6;10;59;47;206;91;4;0
;Þabanözü;;;;39;8133;7329;7136;4008;1144;12;21;30;1087;57;674;92;11;0
;;;Ýl/Ýlçe merkezi;;21;5935;5274;5144;2852;882;6;9;23;711;44;551;59;7;0
;;;Belde/Köy;;18;2198;2055;1992;1156;262;6;12;7;376;13;123;33;4;0
;Yapraklý;;;;46;6391;5663;5568;4162;807;13;11;8;81;64;331;86;5;0
;;;Ýl/Ýlçe merkezi;;7;1455;1264;1248;765;274;2;2;3;30;26;127;18;1;0
;;;Belde/Köy;;39;4936;4399;4320;3397;533;11;9;5;51;38;204;68;4;0
;Atkaracalar;;;;22;3275;2731;2672;1849;308;6;3;15;106;23;321;37;4;0
;;;Ýl/Ýlçe merkezi;;8;1618;1319;1290;775;190;3;0;12;57;11;223;16;3;0
;;;Belde/Köy;;14;1657;1412;1382;1074;118;3;3;3;49;12;98;21;1;0
;Kýzýlýrmak;;;;33;5746;5055;4945;2813;1389;12;7;29;220;19;359;92;5;0
;;;Ýl/Ýlçe merkezi;;6;1584;1350;1318;684;412;2;0;8;35;5;144;26;2;0
;;;Belde/Köy;;27;4162;3705;3627;2129;977;10;7;21;185;14;215;66;3;0
;Bayramören;;;;30;2022;1802;1762;1295;146;6;7;3;67;17;169;49;3;0
;;;Ýl/Ýlçe merkezi;;3;395;317;308;163;42;0;0;0;30;1;70;2;0;0
;;;Belde/Köy;;27;1627;1485;1454;1132;104;6;7;3;37;16;99;47;3;0
;Korgun;;;;18;3328;3015;2946;2099;425;3;5;4;74;30;255;44;7;0
;;;Ýl/Ýlçe merkezi;;5;1460;1282;1257;782;221;0;1;3;54;19;160;12;5;0
;;;Belde/Köy;;13;1868;1733;1689;1317;204;3;4;1;20;11;95;32;2;0
