TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Çorum;Seçim çevresi toplamý ;;;;1691;390689;356078;348188;178083;48622;620;840;11230;70591;3801;29586;4157;658;0
;;;Ýl/Ýlçe merkezi;;820;275779;249260;244371;115478;36915;361;454;8732;51443;2994;24590;2879;525;0
;;;Belde/Köy;;871;114910;106818;103817;62605;11707;259;386;2498;19148;807;4996;1278;133;0
;Alaca;;;;151;24272;21973;21604;11408;3488;43;27;710;3617;178;1780;332;21;0
;;;Ýl/Ýlçe merkezi;;48;14496;12839;12597;7159;2625;25;12;161;872;113;1380;236;14;0
;;;Belde/Köy;;103;9776;9134;9007;4249;863;18;15;549;2745;65;400;96;7;0
;Bayat;;;;78;12906;11493;11159;7940;1123;43;42;55;686;86;1063;108;13;0
;;;Ýl/Ýlçe merkezi;;16;4534;3954;3854;2311;374;18;12;24;355;49;669;37;5;0
;;;Belde/Köy;;62;8372;7539;7305;5629;749;25;30;31;331;37;394;71;8;0
;Çorum Merkez;;;;725;205764;189084;185814;84158;26402;175;283;8747;46520;2246;14922;1975;386;0
;;;Ýl/Ýlçe merkezi;;505;180950;165296;162527;71770;24024;144;236;7823;40185;2065;14193;1731;356;0
;;;Belde/Köy;;220;24814;23788;23287;12388;2378;31;47;924;6335;181;729;244;30;0
;Ýskilip;;;;125;25436;22778;22012;13899;3455;70;122;113;1627;296;2016;374;40;0
;;;Ýl/Ýlçe merkezi;;48;14043;12304;11962;6737;2208;40;46;75;904;187;1530;206;29;0
;;;Belde/Köy;;77;11393;10474;10050;7162;1247;30;76;38;723;109;486;168;11;0
;Kargý;;;;80;13316;11875;11365;7217;1223;48;74;55;1674;100;821;136;17;0
;;;Ýl/Ýlçe merkezi;;14;4105;3498;3383;1609;396;11;17;23;892;31;363;34;7;0
;;;Belde/Köy;;66;9211;8377;7982;5608;827;37;57;32;782;69;458;102;10;0
;Mecitözü;;;;70;12329;11498;11231;5117;1225;12;19;457;3575;82;574;149;21;0
;;;Ýl/Ýlçe merkezi;;13;3463;3150;3082;860;326;1;4;173;1430;33;223;25;7;0
;;;Belde/Köy;;57;8866;8348;8149;4257;899;11;15;284;2145;49;351;124;14;0
;Ortaköy;;;;27;5552;5016;4884;2048;749;8;10;253;1223;49;475;58;11;0
;;;Ýl/Ýlçe merkezi;;6;1767;1562;1528;656;284;1;3;20;303;17;225;15;4;0
;;;Belde/Köy;;21;3785;3454;3356;1392;465;7;7;233;920;32;250;43;7;0
;Osmancýk;;;;141;33135;30083;29186;17340;3589;87;87;242;4329;269;2854;336;53;0
;;;Ýl/Ýlçe merkezi;;66;21224;18923;18388;10069;2449;52;48;145;2859;193;2303;225;45;0
;;;Belde/Köy;;75;11911;11160;10798;7271;1140;35;39;97;1470;76;551;111;8;0
;Sungurlu;;;;182;36833;33066;32344;18024;4922;76;79;423;4358;303;3607;492;60;0
;;;Ýl/Ýlçe merkezi;;68;22412;19868;19432;10134;3080;41;33;254;2481;210;2865;290;44;0
;;;Belde/Köy;;114;14421;13198;12912;7890;1842;35;46;169;1877;93;742;202;16;0
;Boðazkale;;;;20;3120;2790;2709;1765;453;7;8;34;188;33;170;44;7;0
;;;Ýl/Ýlçe merkezi;;5;1063;866;851;507;207;3;4;2;41;4;68;15;0;0
;;;Belde/Köy;;15;2057;1924;1858;1258;246;4;4;32;147;29;102;29;7;0
;Uðurludað;;;;29;4934;4385;4277;2821;662;11;14;23;435;21;245;44;1;0
;;;Ýl/Ýlçe merkezi;;9;2291;2030;1973;1373;322;6;7;3;94;13;133;22;0;0
;;;Belde/Köy;;20;2643;2355;2304;1448;340;5;7;20;341;8;112;22;1;0
;Dodurga;;;;24;5108;4694;4534;2212;573;8;27;41;966;61;590;41;15;0
;;;Ýl/Ýlçe merkezi;;9;2079;1897;1838;908;260;4;12;14;248;37;332;16;7;0
;;;Belde/Köy;;15;3029;2797;2696;1304;313;4;15;27;718;24;258;25;8;0
;Laçin;;;;21;3600;3240;3116;1753;411;13;22;60;599;41;177;35;5;0
;;;Ýl/Ýlçe merkezi;;3;913;821;792;459;166;3;5;1;45;22;80;11;0;0
;;;Belde/Köy;;18;2687;2419;2324;1294;245;10;17;59;554;19;97;24;5;0
;Oðuzlar;;;;18;4384;4103;3953;2381;347;19;26;17;794;36;292;33;8;0
;;;Ýl/Ýlçe merkezi;;10;2439;2252;2164;926;194;12;15;14;734;20;226;16;7;0
;;;Belde/Köy;;8;1945;1851;1789;1455;153;7;11;3;60;16;66;17;1;0
