TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Isparta;Seçim çevresi toplamý ;;;;1044;312416;278869;271606;127095;35449;710;897;4503;44404;4118;50786;2906;738;0
;;;Ýl/Ýlçe merkezi;;667;217594;194672;190976;83102;25300;343;465;4004;33190;3118;38953;1931;570;0
;;;Belde/Köy;;377;94822;84197;80630;43993;10149;367;432;499;11214;1000;11833;975;168;0
;Atabey;;;;18;4209;3944;3843;1944;288;11;15;76;400;52;1015;29;13;0
;;;Ýl/Ýlçe merkezi;;12;2985;2810;2742;1437;207;8;15;75;315;32;626;22;5;0
;;;Belde/Köy;;6;1224;1134;1101;507;81;3;0;1;85;20;389;7;8;0
;Eðirdir;;;;94;24117;21439;20659;10503;2367;96;73;207;2956;202;3941;262;52;0
;;;Ýl/Ýlçe merkezi;;45;12215;10740;10525;4811;1149;35;14;149;1928;108;2145;149;37;0
;;;Belde/Köy;;49;11902;10699;10134;5692;1218;61;59;58;1028;94;1796;113;15;0
;Gelendost;;;;43;12257;10571;10153;4078;1381;31;58;54;2547;158;1711;110;25;0
;;;Ýl/Ýlçe merkezi;;13;3906;3397;3297;1433;423;7;9;19;661;95;615;25;10;0
;;;Belde/Köy;;30;8351;7174;6856;2645;958;24;49;35;1886;63;1096;85;15;0
;Isparta Merkez;;;;493;172136;156139;153296;70296;19739;251;355;3440;24849;2570;29824;1522;450;0
;;;Ýl/Ýlçe merkezi;;438;155886;140760;138372;60276;18083;219;308;3394;23696;2394;28211;1361;430;0
;;;Belde/Köy;;55;16250;15379;14924;10020;1656;32;47;46;1153;176;1613;161;20;0
;Keçiborlu;;;;45;11165;10180;9803;4801;979;39;31;60;1824;170;1776;98;25;0
;;;Ýl/Ýlçe merkezi;;20;5417;4867;4749;2120;435;11;9;34;1117;41;933;43;6;0
;;;Belde/Köy;;25;5748;5313;5054;2681;544;28;22;26;707;129;843;55;19;0
;Senirkent;;;;37;8967;7823;7543;2989;1244;30;34;52;1141;51;1879;100;23;0
;;;Ýl/Ýlçe merkezi;;15;3763;3262;3181;1195;432;7;7;37;470;20;966;36;11;0
;;;Belde/Köy;;22;5204;4561;4362;1794;812;23;27;15;671;31;913;64;12;0
;Sütçüler;;;;46;8663;7676;7375;5225;592;25;34;33;470;83;815;87;11;0
;;;Ýl/Ýlçe merkezi;;9;1821;1505;1474;824;152;2;3;8;195;14;264;7;5;0
;;;Belde/Köy;;37;6842;6171;5901;4401;440;23;31;25;275;69;551;80;6;0
;Þarkikaraaðaç;;;;73;19693;17344;16720;7750;2589;64;74;117;2344;285;3265;196;36;0
;;;Ýl/Ýlçe merkezi;;22;7030;6137;5977;2427;1018;12;20;51;768;112;1497;58;14;0
;;;Belde/Köy;;51;12663;11207;10743;5323;1571;52;54;66;1576;173;1768;138;22;0
;Uluborlu;;;;20;5064;4313;4193;1869;451;15;15;72;838;44;843;32;14;0
;;;Ýl/Ýlçe merkezi;;16;4219;3561;3470;1575;371;7;8;67;721;38;648;25;10;0
;;;Belde/Köy;;4;845;752;723;294;80;8;7;5;117;6;195;7;4;0
;Yalvaç;;;;124;34971;29383;28325;13352;4989;106;127;220;4530;400;4136;400;65;0
;;;Ýl/Ýlçe merkezi;;53;14819;12753;12439;5194;2645;24;42;119;1818;228;2173;168;28;0
;;;Belde/Köy;;71;20152;16630;15886;8158;2344;82;85;101;2712;172;1963;232;37;0
;Aksu;;;;22;3664;3216;3028;1520;214;29;49;32;707;35;415;20;7;0
;;;Ýl/Ýlçe merkezi;;9;1413;1186;1141;466;71;5;14;14;391;9;158;10;3;0
;;;Belde/Köy;;13;2251;2030;1887;1054;143;24;35;18;316;26;257;10;4;0
;Gönen;;;;22;5741;5296;5179;2109;507;10;24;127;1387;57;904;41;13;0
;;;Ýl/Ýlçe merkezi;;9;2632;2404;2360;795;221;4;8;28;756;18;504;19;7;0
;;;Belde/Köy;;13;3109;2892;2819;1314;286;6;16;99;631;39;400;22;6;0
;Yeniþarbademli;;;;7;1769;1545;1489;659;109;3;8;13;411;11;262;9;4;0
;;;Ýl/Ýlçe merkezi;;6;1488;1290;1249;549;93;2;8;9;354;9;213;8;4;0
;;;Belde/Köy;;1;281;255;240;110;16;1;0;4;57;2;49;1;0;0
