TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Iðdýr;Seçim çevresi toplamý ;;;;408;119655;93297;91115;17737;21885;198;203;41057;2141;1836;5336;607;115;0
;;;Ýl/Ýlçe merkezi;;197;67000;53248;51955;9130;14847;105;122;21300;1441;760;3765;412;73;0
;;;Belde/Köy;;211;52655;40049;39160;8607;7038;93;81;19757;700;1076;1571;195;42;0
;Aralýk;;;;48;12697;9434;9190;2122;1682;18;51;4000;217;740;314;37;9;0
;;;Ýl/Ýlçe merkezi;;14;3665;2812;2740;525;1193;5;38;457;146;94;250;26;6;0
;;;Belde/Köy;;34;9032;6622;6450;1597;489;13;13;3543;71;646;64;11;3;0
;Iðdýr Merkez;;;;245;83206;65695;64231;11619;16194;116;110;29321;1428;843;4072;445;83;0
;;;Ýl/Ýlçe merkezi;;158;55898;44845;43811;7465;12431;81;69;18589;1122;568;3067;360;59;0
;;;Belde/Köy;;87;27308;20850;20420;4154;3763;35;41;10732;306;275;1005;85;24;0
;Tuzluca;;;;82;14757;11324;10963;2620;1849;39;28;5198;360;161;617;74;17;0
;;;Ýl/Ýlçe merkezi;;20;5799;4303;4146;868;512;15;11;2221;143;77;282;10;7;0
;;;Belde/Köy;;62;8958;7021;6817;1752;1337;24;17;2977;217;84;335;64;10;0
;Karakoyunlu;;;;33;8995;6844;6731;1376;2160;25;14;2538;136;92;333;51;6;0
;;;Ýl/Ýlçe merkezi;;5;1638;1288;1258;272;711;4;4;33;30;21;166;16;1;0
;;;Belde/Köy;;28;7357;5556;5473;1104;1449;21;10;2505;106;71;167;35;5;0
