TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Þanlýurfa;Seçim çevresi toplamý ;;;;3652;1060815;864333;843861;440085;77479;13495;927;247256;28880;10913;14965;5882;531;3448
;;;Ýl/Ýlçe merkezi;;3652;1060815;864333;843861;440085;77479;13495;927;247256;28880;10913;14965;5882;531;3448
;Akçakale;;;;196;49448;44572;43906;29246;11202;696;10;1090;424;128;411;536;24;139
;;;Ýl/Ýlçe merkezi;;196;49448;44572;43906;29246;11202;696;10;1090;424;128;411;536;24;139
;Birecik;;;;196;54194;42013;40875;19049;2452;1159;54;13917;2503;398;1115;193;28;7
;;;Ýl/Ýlçe merkezi;;196;54194;42013;40875;19049;2452;1159;54;13917;2503;398;1115;193;28;7
;Bozova;;;;137;32048;25575;24857;12423;1152;492;36;9455;518;218;419;122;12;10
;;;Ýl/Ýlçe merkezi;;137;32048;25575;24857;12423;1152;492;36;9455;518;218;419;122;12;10
;Ceylanpýnar;;;;148;45323;37373;36367;14536;2682;1022;28;14642;1963;759;393;196;27;119
;;;Ýl/Ýlçe merkezi;;148;45323;37373;36367;14536;2682;1022;28;14642;1963;759;393;196;27;119
;Halfeti;;;;90;23563;17922;17196;6025;405;88;38;9104;1039;106;323;51;14;3
;;;Ýl/Ýlçe merkezi;;90;23563;17922;17196;6025;405;88;38;9104;1039;106;323;51;14;3
;Hilvan;;;;118;25131;21301;20743;8612;611;1178;48;7185;2200;376;457;53;14;9
;;;Ýl/Ýlçe merkezi;;118;25131;21301;20743;8612;611;1178;48;7185;2200;376;457;53;14;9
;Siverek;;;;466;134935;103063;99448;47057;4120;2463;156;38428;3598;934;2125;452;72;43
;;;Ýl/Ýlçe merkezi;;466;134935;103063;99448;47057;4120;2463;156;38428;3598;934;2125;452;72;43
;Suruç;;;;206;57712;46253;44844;13634;394;590;43;28742;786;261;320;50;14;10
;;;Ýl/Ýlçe merkezi;;206;57712;46253;44844;13634;394;590;43;28742;786;261;320;50;14;10
;Viranþehir;;;;355;98882;80068;78399;32232;2899;994;64;39216;1275;462;763;250;23;221
;;;Ýl/Ýlçe merkezi;;355;98882;80068;78399;32232;2899;994;64;39216;1275;462;763;250;23;221
;Harran;;;;157;37735;35233;34994;16485;16494;49;21;122;218;82;257;1222;10;34
;;;Ýl/Ýlçe merkezi;;157;37735;35233;34994;16485;16494;49;21;122;218;82;257;1222;10;34
;Eyyübiye;;;;582;186972;144797;141086;90941;12419;1712;180;27482;2407;1672;1896;1087;75;1215
;;;Ýl/Ýlçe merkezi;;582;186972;144797;141086;90941;12419;1712;180;27482;2407;1672;1896;1087;75;1215
;Haliliye;;;;658;209478;175527;172056;101119;16036;2023;166;36311;7275;3094;3289;1174;121;1448
;;;Ýl/Ýlçe merkezi;;658;209478;175527;172056;101119;16036;2023;166;36311;7275;3094;3289;1174;121;1448
;Karaköprü;;;;343;105394;90636;89090;48726;6613;1029;83;21562;4674;2423;3197;496;97;190
;;;Ýl/Ýlçe merkezi;;343;105394;90636;89090;48726;6613;1029;83;21562;4674;2423;3197;496;97;190
