TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Þýrnak;Seçim çevresi toplamý ;;;;854;268308;233565;226738;38523;8721;4847;344;162969;5048;1001;4284;448;145;408
;;;Ýl/Ýlçe merkezi;;498;172978;150381;146121;20600;5211;3006;192;109873;3045;728;2698;277;110;381
;;;Belde/Köy;;356;95330;83184;80617;17923;3510;1841;152;53096;2003;273;1586;171;35;27
;Beytüþþebap;;;;38;10435;8636;8290;1988;649;31;27;4931;348;33;245;31;5;2
;;;Ýl/Ýlçe merkezi;;11;3482;2791;2723;415;223;4;5;1874;126;11;56;5;4;0
;;;Belde/Köy;;27;6953;5845;5567;1573;426;27;22;3057;222;22;189;26;1;2
;Cizre;;;;225;74521;65810;64030;6303;1150;1763;80;52588;947;344;719;89;35;12
;;;Ýl/Ýlçe merkezi;;179;64256;56253;54614;5528;1025;1614;71;44417;849;332;652;80;34;12
;;;Belde/Köy;;46;10265;9557;9416;775;125;149;9;8171;98;12;67;9;1;0
;Ýdil;;;;134;37888;30901;30014;5330;638;947;36;22001;497;89;416;43;14;3
;;;Ýl/Ýlçe merkezi;;44;15135;11910;11556;974;407;279;9;9406;244;43;167;15;10;2
;;;Belde/Köy;;90;22753;18991;18458;4356;231;668;27;12595;253;46;249;28;4;1
;Silopi;;;;201;68261;61526;59883;9446;1937;698;85;44737;1194;170;1114;80;40;382
;;;Ýl/Ýlçe merkezi;;143;51042;45589;44374;6021;1013;535;65;34753;784;123;633;57;28;362
;;;Belde/Köy;;58;17219;15937;15509;3425;924;163;20;9984;410;47;481;23;12;20
;Þýrnak Merkez;;;;151;47683;42318;40751;10792;3309;1348;74;22117;1198;293;1414;159;40;7
;;;Ýl/Ýlçe merkezi;;98;32259;28457;27600;6740;2360;561;35;15518;900;211;1126;113;31;5
;;;Belde/Köy;;53;15424;13861;13151;4052;949;787;39;6599;298;82;288;46;9;2
;Uludere;;;;75;23157;18864;18434;3479;818;45;36;12896;757;62;297;35;8;1
;;;Ýl/Ýlçe merkezi;;16;4551;3571;3508;536;108;8;6;2718;92;6;26;6;2;0
;;;Belde/Köy;;59;18606;15293;14926;2943;710;37;30;10178;665;56;271;29;6;1
;Güçlükonak;;;;30;6363;5510;5336;1185;220;15;6;3699;107;10;79;11;3;1
;;;Ýl/Ýlçe merkezi;;7;2253;1810;1746;386;75;5;1;1187;50;2;38;1;1;0
;;;Belde/Köy;;23;4110;3700;3590;799;145;10;5;2512;57;8;41;10;2;1
